,,,問5(1).あなたは、はきはきとした気持ちのよいあいさつをする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,30.4,57.8,10.6,1.1,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,46,104,45,4,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,23.1,52.3,22.6,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,767,189,416,153,9,4
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,24.6,54.2,19.9,1.2,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,318,115,150,49,4,3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,36.2,47.2,15.4,1.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,63,213,88,4,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,17.1,57.9,23.9,1.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,11,53,16,1,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,13.6,65.4,19.8,1.2,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,179,451,159,25,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,22.0,55.4,19.5,3.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,69,141,37,4,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,27.5,56.2,14.7,1.6,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,75,187,75,17,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,21.2,52.8,21.2,4.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,35,123,47,4,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,16.7,58.9,22.5,1.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,152,283,82,10,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,28.8,53.7,15.6,1.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,95,140,42,5,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,33.7,49.6,14.9,1.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,52,139,37,5,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,22.3,59.7,15.9,2.1,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,5,4,3,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,41.7,33.3,25.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,717,197,389,117,14,1
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,27.5,54.3,16.3,2.0,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,75,98,21,8,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,37.1,48.5,10.4,4.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,90,197,54,4,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,26.1,57.1,15.7,1.2,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,32,94,42,2,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,18.8,55.3,24.7,1.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,651,175,365,93,18,3
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,26.9,56.1,14.3,2.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,303,89,160,47,7,2
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,29.4,52.8,15.5,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,72,151,35,9,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,27.0,56.6,13.1,3.4,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,14,54,11,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,17.3,66.7,13.6,2.5,
