,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,76.0,24.7,29.9,9.5,33.4,11.2,73.8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,232,213,96,75,45,136,45,169
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,91.8,41.4,32.3,19.4,58.6,19.4,72.8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,229,72,108,20,85,30,254
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,71.1,22.4,33.5,6.2,26.4,9.3,78.9
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,195,127,17,41,6,29,9,130
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,65.1,8.7,21.0,3.1,14.9,4.6,66.7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,488,329,57,101,22,122,35,285
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,67.4,11.7,20.7,4.5,25.0,7.2,58.4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,257,191,34,53,9,77,13,135
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,74.3,13.2,20.6,3.5,30.0,5.1,52.5
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,220,130,21,45,13,41,21,144
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,59.1,9.5,20.5,5.9,18.6,9.5,65.5
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,8,2,3,0,4,1,6
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,72.7,18.2,27.3,0.0,36.4,9.1,54.5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,655,472,136,167,47,196,42,468
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,72.1,20.8,25.5,7.2,29.9,6.4,71.5
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,184,164,62,55,18,89,15,104
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,89.1,33.7,29.9,9.8,48.4,8.2,56.5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,312,219,61,75,25,75,23,235
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,70.2,19.6,24.0,8.0,24.0,7.4,75.3
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,159,89,13,37,4,32,4,129
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,56.0,8.2,23.3,2.5,20.1,2.5,81.1
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,589,418,115,142,40,147,37,414
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,71.0,19.5,24.1,6.8,25.0,6.3,70.3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,281,223,70,79,21,100,13,183
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,79.4,24.9,28.1,7.5,35.6,4.6,65.1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,233,158,38,52,18,40,17,173
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,67.8,16.3,22.3,7.7,17.2,7.3,74.2
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,37,7,11,1,7,7,58
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,49.3,9.3,14.7,1.3,9.3,9.3,77.3
