,,,問6(1).何をしようが自分の勝手だと思う／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,524,23,109,219,173,7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.4,20.8,41.8,33.0,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,279,9,46,115,109,7
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.2,16.5,41.2,39.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,13,56,100,64,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,5.6,24.0,42.9,27.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,7,4,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,58.3,33.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,715,49,166,258,242,3
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.9,23.2,36.1,33.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,203,7,21,77,98,0
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,3.4,10.3,37.9,48.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,33,91,114,106,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,9.6,26.5,33.1,30.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,9,54,67,38,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,5.4,32.1,39.9,22.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,650,63,148,229,210,4
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,9.7,22.8,35.2,32.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,19,45,98,140,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,6.3,14.9,32.5,46.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,37,66,103,61,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,13.9,24.7,38.6,22.8,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,7,37,28,9,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,8.6,45.7,34.6,11.1,
