,,,問11(4).それらの活動では、あなたは頑張ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,244,9,17,82,136,1,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.7,7.0,33.6,55.7,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,2,8,19,14,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,4.7,18.6,44.2,32.6,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,428,22,27,119,260,5,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.1,6.3,27.8,60.7,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,6,12,28,97,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.2,8.4,19.6,67.8,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,183,11,10,52,110,0,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,6.0,5.5,28.4,60.1,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,5,5,39,53,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.9,4.9,38.2,52.0,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,363,11,23,99,230,9,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.0,6.3,27.3,63.4,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,184,5,11,47,121,8,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.7,6.0,25.5,65.8,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,170,6,10,49,105,1,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,3.5,5.9,28.8,61.8,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,0,2,3,4,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,22.2,33.3,44.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,411,18,35,124,234,5,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,4.4,8.5,30.2,56.9,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,119,6,9,19,85,4,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,5.0,7.6,16.0,71.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,212,10,16,73,113,1,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,4.7,7.5,34.4,53.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,2,10,32,36,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,2.5,12.5,40.0,45.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,403,25,21,117,240,6,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.2,5.2,29.0,59.6,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,181,5,6,40,130,3,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,2.8,3.3,22.1,71.8,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,172,20,8,57,87,3,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,11.6,4.7,33.1,50.6,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,0,7,20,23,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,14.0,40.0,46.0,,
