,,,問5(4).あなたは、友達の悪口を言う／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,2.7,14.8,57.8,24.7,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,316,9,35,167,105,5
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,2.8,11.1,52.8,33.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,10,63,224,71,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.7,17.1,60.9,19.3,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,2,15,51,13,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,18.5,63.0,16.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,812,21,166,416,209,7
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,2.6,20.4,51.2,25.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,4,36,135,75,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,1.6,14.4,54.0,30.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,12,81,168,93,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,3.4,22.9,47.5,26.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,208,5,49,113,41,1
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.4,23.6,54.3,19.7,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,14,110,277,126,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,2.7,20.9,52.6,23.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,5,58,148,71,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,1.8,20.6,52.5,25.2,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,9,48,121,55,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,3.9,20.6,51.9,23.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,4,8,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,33.3,66.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,20,130,375,191,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.8,18.2,52.4,26.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,5,33,102,61,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,2.5,16.4,50.7,30.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,8,73,180,84,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,2.3,21.2,52.2,24.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,7,24,93,46,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.1,14.1,54.7,27.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,25,146,328,147,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,3.9,22.6,50.8,22.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,301,9,49,155,88,4
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.0,16.3,51.5,29.2,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,15,82,127,40,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,5.7,31.1,48.1,15.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,1,15,46,19,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,1.2,18.5,56.8,23.5,
