,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(2位)／合計,地域の人々の交流が深まること,町をきれ,その他,不明
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.2,8.3,0.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,13,26,1,21
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,7.1,14.3,0.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,311,17,17,1,34
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,5.5,5.5,0.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,157,4,11,1,13
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,2.5,7.0,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,590,46,47,0,64
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,7.8,8.0,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,24,31,0,25
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,8.6,11.1,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,235,18,14,0,33
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,7.7,6.0,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,4,2,0,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,5.3,2.7,0.0,
