,,,問7(6).お年寄りには、尊敬と感謝の気持ちをもって接している／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,759,312,300,121,26,12
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,41.1,39.5,15.9,3.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,148,107,47,12,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,47.1,34.1,15.0,3.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,364,144,154,56,10,5
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,39.6,42.3,15.4,2.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,20,39,18,4,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,24.7,48.1,22.2,4.9,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,320,321,135,38,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,39.3,39.4,16.6,4.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,117,89,32,12,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,46.8,35.6,12.8,4.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,147,134,55,19,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,41.4,37.7,15.5,5.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,56,98,48,7,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,26.8,46.9,23.0,3.3,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,203,204,99,21,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,38.5,38.7,18.8,4.0,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,107,104,58,13,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,37.9,36.9,20.6,4.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,93,93,39,8,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,39.9,39.9,16.7,3.4,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,3,7,2,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,25.0,58.3,16.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,308,272,104,29,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.2,38.1,14.6,4.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,107,58,20,17,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,53.0,28.7,9.9,8.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,146,141,47,9,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,42.6,41.1,13.7,2.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,55,73,37,3,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,32.7,43.5,22.0,1.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,257,265,94,30,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,39.8,41.0,14.6,4.6,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,299,135,113,42,9,6
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,45.2,37.8,14.0,3.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,94,116,39,18,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,35.2,43.4,14.6,6.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,28,36,13,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,35.0,45.0,16.3,3.8,
