,,,問9(4).授業中、いすに座らずに立ち歩いた／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,693,568,46,62,17,25
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,82.0,6.6,8.9,2.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,164,15,10,2,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,85.9,7.9,5.2,1.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,281,22,28,10,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,82.4,6.5,8.2,2.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,161,123,9,24,5,9
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,76.4,5.6,14.9,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,632,503,57,48,24,22
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,79.6,9.0,7.6,3.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,290,241,31,12,6,15
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,83.1,10.7,4.1,2.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,263,201,19,29,14,5
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,76.4,7.2,11.0,5.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,79,61,7,7,4,2
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,77.2,8.9,8.9,5.1,
