,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,先輩,地域の大人,芸能人やスポーツ選手,マンガやアニメのキャラクター,その他,不明
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,42.0,9.8,22.4,19.5,0.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,698,204,118,185,171,42,73
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,29.2,16.9,26.5,24.5,6.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,288,58,52,71,76,18,33
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,20.1,18.1,24.7,26.4,6.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,336,128,63,98,88,23,33
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,38.1,18.8,29.2,26.2,6.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,74,18,3,16,7,1,7
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,24.3,4.1,21.6,9.5,1.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,740,210,96,193,122,26,79
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,28.4,13.0,26.1,16.5,3.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,220,40,36,56,43,4,32
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,18.2,16.4,25.5,19.5,1.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,324,132,47,106,54,13,34
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,40.7,14.5,32.7,16.7,4.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,38,13,31,25,9,13
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,19.4,6.6,15.8,12.8,4.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,470,151,67,121,81,21,61
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,32.1,14.3,25.7,17.2,4.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,248,60,44,48,31,9,38
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,24.2,17.7,19.4,12.5,3.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,210,87,23,71,50,11,23
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,41.4,11.0,33.8,23.8,5.2,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,0,2,0,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,0.0,16.7,0.0,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,653,209,106,183,117,32,65
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,32.0,16.2,28.0,17.9,4.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,179,24,29,43,28,6,24
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,13.4,16.2,24.0,15.6,3.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,317,137,60,103,68,20,28
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,43.2,18.9,32.5,21.5,6.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,157,48,17,37,21,6,13
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,30.6,10.8,23.6,13.4,3.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,564,167,99,128,105,16,90
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,29.6,17.6,22.7,18.6,2.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,245,39,43,54,42,8,60
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,15.9,17.6,22.0,17.1,3.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,245,102,47,60,54,6,23
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,41.6,19.2,24.5,22.0,2.4,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,74,26,9,14,9,2,7
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,35.1,12.2,18.9,12.2,2.7,
