,,,問8(10).電車の中で、友達と大きな声で騒ぐ人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,22,21,83,216,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,6.4,6.1,24.3,63.2,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,8,13,43,99,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.9,8.0,26.4,60.7,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,636,37,34,139,426,18
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,5.8,5.3,21.9,67.0,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,295,12,5,47,231,10
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.1,1.7,15.9,78.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,261,25,24,66,146,7
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,9.6,9.2,25.3,55.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,0,5,26,49,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,6.3,32.5,61.3,
