,,,問7(9).困っている人がいるときには、助けてあげる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,38.5,47.1,12.1,2.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,130,126,46,12,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,41.4,40.1,14.6,3.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,139,184,38,6,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,37.9,50.1,10.4,1.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,24,49,8,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,29.6,60.5,9.9,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,816,339,383,80,14,3
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,41.5,46.9,9.8,1.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,127,95,23,6,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,50.6,37.8,9.2,2.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,356,152,168,29,7,2
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,42.7,47.2,8.1,2.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,60,120,28,1,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,28.7,57.4,13.4,0.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,193,254,58,22,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,36.6,48.2,11.0,4.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,104,132,34,12,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,36.9,46.8,12.1,4.3,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,85,114,24,10,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,36.5,48.9,10.3,4.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,8,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,66.7,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,711,307,302,75,27,7
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.2,42.5,10.5,3.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,90,76,23,13,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,44.6,37.6,11.4,6.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,148,148,33,12,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,43.4,43.4,9.7,3.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,69,78,19,2,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,41.1,46.4,11.3,1.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,647,284,261,78,24,7
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,43.9,40.3,12.1,3.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,299,156,105,30,8,6
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,52.2,35.1,10.0,2.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,101,114,38,14,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,37.8,42.7,14.2,5.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,27,42,10,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,33.3,51.9,12.3,2.5,
