,,,問9(10).電車の中で、友達と大きな声で騒いだ／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,76.0,12.9,10.0,1.1,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,136,34,33,4,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,65.7,16.4,15.9,1.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,508,360,88,56,4,23
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,70.9,17.3,11.0,0.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,270,216,35,18,1,16
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,80.0,13.0,6.7,0.4,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,138,50,36,2,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,61.1,22.1,15.9,0.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,6,3,2,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,50.0,25.0,16.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,695,542,82,55,16,23
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,78.0,11.8,7.9,2.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,168,11,8,4,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,88.0,5.8,4.2,2.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,254,46,33,8,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,74.5,13.5,9.7,2.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,120,25,14,4,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,73.6,15.3,8.6,2.5,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,637,487,77,53,20,17
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,76.5,12.1,8.3,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,293,269,21,2,1,12
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,91.8,7.2,0.7,0.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,177,39,32,16,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,67.0,14.8,12.1,6.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,41,17,19,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,51.3,21.3,23.8,3.8,
