,,,問8(8).決められた場所以外に自転車を置く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,21.0,36.4,29.7,12.8,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,743,114,216,232,181,28
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,15.3,29.1,31.2,24.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,301,35,59,108,99,20
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,11.6,19.6,35.9,32.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,361,59,124,105,73,8
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,16.3,34.3,29.1,20.2,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,20,33,19,9,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,24.7,40.7,23.5,11.1,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,115,224,250,211,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,14.4,28.0,31.3,26.4,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,14,42,80,107,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,5.8,17.3,32.9,44.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,56,102,113,79,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,16.0,29.1,32.3,22.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,45,80,57,25,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,21.7,38.6,27.5,12.1,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,61,112,193,145,20
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,11.9,21.9,37.8,28.4,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,25,62,98,88,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,9.2,22.7,35.9,32.2,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,35,47,87,57,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,15.5,20.8,38.5,25.2,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,3,8,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,25.0,66.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,80,131,222,263,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,11.5,18.8,31.9,37.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,11,19,53,108,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,5.8,9.9,27.7,56.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,46,68,117,111,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,13.5,19.9,34.2,32.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,23,44,52,44,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,14.1,27.0,31.9,27.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,638,74,122,224,218,16
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,11.6,19.1,35.1,34.2,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,17,38,89,150,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,5.8,12.9,30.3,51.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,49,63,101,51,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,18.6,23.9,38.3,19.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,8,21,34,17,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,10.0,26.3,42.5,21.3,
