,,,問6(9).何か問題をおこして近所のうわさになるのはいやだ／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,71.4,18.1,7.5,3.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,761,507,118,67,69,10
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,66.6,15.5,8.8,9.1,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,216,39,22,37,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,68.8,12.4,7.0,11.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,243,59,35,29,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,66.4,16.1,9.6,7.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,48,20,10,3,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,59.3,24.7,12.3,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,810,522,144,88,56,9
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,64.4,17.8,10.9,6.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,249,193,17,15,24,3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,77.5,6.8,6.0,9.6,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,231,61,42,21,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,65.1,17.2,11.8,5.9,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,98,66,31,11,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,47.6,32.0,15.0,5.3,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,525,342,95,47,41,6
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,65.1,18.1,9.0,7.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,182,51,21,28,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,64.5,18.1,7.4,9.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,231,155,37,26,13,2
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,67.1,16.0,11.3,5.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,5,7,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,41.7,58.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,708,479,121,55,53,10
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,67.7,17.1,7.8,7.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,200,153,22,12,13,3
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,76.5,11.0,6.0,6.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,340,230,59,25,26,5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,67.6,17.4,7.4,7.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,96,40,18,14,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,57.1,23.8,10.7,8.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,426,104,45,71,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,65.9,16.1,7.0,11.0,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,300,211,37,18,34,5
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,70.3,12.3,6.0,11.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,161,51,20,33,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,60.8,19.2,7.5,12.5,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,54,16,7,4,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,66.7,19.8,8.6,4.9,
