,,,問8(2).先生の指示に従わない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,8.5,8.1,31.3,52.1,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,13,39,87,57,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,6.6,19.9,44.4,29.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,745,37,118,282,308,26
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,5.0,15.8,37.9,41.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,17,35,90,161,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,5.6,11.6,29.7,53.1,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,361,17,68,154,122,8
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.7,18.8,42.7,33.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,3,15,38,25,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,3.7,18.5,46.9,30.9,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,801,47,135,303,316,18
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,5.9,16.9,37.8,39.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,9,10,81,144,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,3.7,4.1,33.2,59.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,31,64,128,127,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,8.9,18.3,36.6,36.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,7,61,94,45,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.4,29.5,45.4,21.7,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,29,79,199,203,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,5.7,15.5,39.0,39.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,274,9,30,98,137,12
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.3,10.9,35.8,50.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,224,20,43,97,64,9
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,8.9,19.2,43.3,28.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,6,4,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,50.0,33.3,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,51,103,241,299,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,7.3,14.8,34.7,43.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,190,13,19,46,112,13
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.8,10.0,24.2,58.9,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,26,59,124,132,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,7.6,17.3,36.4,38.7,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,12,25,71,55,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,7.4,15.3,43.6,33.7,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,42,92,225,280,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.6,14.4,35.2,43.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,295,13,19,93,170,10
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.4,6.4,31.5,57.6,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,28,64,90,82,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,10.6,24.2,34.1,31.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,1,9,42,28,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,1.3,11.3,52.5,35.0,
