,,,問7(7).親や先生など大人がいうことは、聞かないようにしている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,762,15,71,309,367,9
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,2.0,9.3,40.6,48.2,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,5,22,100,187,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,1.6,7.0,31.8,59.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,10,40,159,159,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.7,10.9,43.2,43.2,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,80,0,9,50,21,1
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,11.3,62.5,26.3,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,812,18,80,355,359,7
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,2.2,9.9,43.7,44.2,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,7,12,68,164,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.8,4.8,27.1,65.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,6,41,162,145,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,1.7,11.6,45.8,41.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,5,27,125,50,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.4,13.0,60.4,24.2,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,11,28,224,263,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,2.1,5.3,42.6,50.0,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,5,7,108,161,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,1.8,2.5,38.4,57.3,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,6,20,109,98,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,2.6,8.6,46.8,42.1,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,1,7,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,8.3,58.3,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,17,57,283,356,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.4,8.0,39.7,49.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,8,10,40,144,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,4.0,5.0,19.8,71.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,7,37,148,151,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,2.0,10.8,43.1,44.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,2,10,95,61,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,1.2,6.0,56.5,36.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,642,15,66,234,327,12
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,2.3,10.3,36.4,50.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,5,14,84,195,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,1.7,4.7,28.2,65.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,10,45,102,107,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,3.8,17.0,38.6,40.5,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,0,7,48,25,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,8.8,60.0,31.3,
