,,,問8(12).電車内で携帯電話を使って通話する人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,8.2,14.5,35.4,41.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,274,21,49,92,112,12
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,7.7,17.9,33.6,40.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,20,23,84,98,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,8.9,10.2,37.3,43.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,2,5,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,16.7,41.7,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,692,68,87,206,331,26
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,9.8,12.6,29.8,47.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,189,16,22,60,91,14
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,8.5,11.6,31.7,48.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,36,44,104,157,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,10.6,12.9,30.5,46.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,16,21,42,83,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,9.9,13.0,25.9,51.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,640,68,80,196,296,14
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,10.6,12.5,30.6,46.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,28,36,80,152,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,9.5,12.2,27.0,51.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,35,40,86,103,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,13.3,15.2,32.6,39.0,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,5,4,30,41,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,6.3,5.0,37.5,51.3,
