,,,問14(2).あなたの周(まわ)りの友達は、ルールやマナーを守る人が多い／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,24.7,52.9,17.9,4.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,3,8,0,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,27.3,72.7,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,659,192,318,123,26,59
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,29.1,48.3,18.7,3.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,188,85,63,38,2,15
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,45.2,33.5,20.2,1.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,313,75,169,51,18,32
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,24.0,54.0,16.3,5.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,158,32,86,34,6,12
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,20.3,54.4,21.5,3.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,592,192,268,116,16,62
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,32.4,45.3,19.6,2.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,279,100,118,54,7,26
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,35.8,42.3,19.4,2.5,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,238,72,110,49,7,30
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,30.3,46.2,20.6,2.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,20,40,13,2,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,26.7,53.3,17.3,2.7,
