,,,問14(3).あなた自身は、ルールやマナーを守る人間だと思う／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,435,135,229,58,13,35
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,31.0,52.6,13.3,3.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,254,81,132,32,9,14
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,31.9,52.0,12.6,3.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,180,54,96,26,4,21
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,30.0,53.3,14.4,2.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,721,226,381,95,19,50
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,31.3,52.8,13.2,2.6,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,305,105,148,41,11,16
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,34.4,48.5,13.4,3.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,341,101,188,45,7,28
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,29.6,55.1,13.2,2.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,75,20,45,9,1,6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,26.7,60.0,12.0,1.3,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,757,250,393,102,12,62
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,33.0,51.9,13.5,1.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,231,87,112,31,1,21
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,37.7,48.5,13.4,0.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,330,109,165,47,9,28
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,33.0,50.0,14.2,2.7,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,54,116,24,2,13
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,27.6,59.2,12.2,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,488,143,263,63,19,43
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,29.3,53.9,12.9,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,255,75,141,32,7,31
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,29.4,55.3,12.5,2.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,223,66,115,30,12,10
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,29.6,51.6,13.5,5.4,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,10,2,7,1,0,2
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,20.0,70.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,659,241,336,66,16,59
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,36.6,51.0,10.0,2.4,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,187,80,81,21,5,16
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,42.8,43.3,11.2,2.7,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,314,108,169,28,9,31
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,34.4,53.8,8.9,2.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,158,53,86,17,2,12
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,33.5,54.4,10.8,1.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,593,196,304,71,22,61
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,33.1,51.3,12.0,3.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,281,87,150,36,8,24
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,31.0,53.4,12.8,2.8,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,237,84,110,30,13,31
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,35.4,46.4,12.7,5.5,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,25,44,5,1,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,33.3,58.7,6.7,1.3,
