,,,問11(1).それらの活動では、あなたは親や家族と一緒に参加したことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,17.4,15.0,35.2,32.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,23,7,20,30,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,28.8,8.8,25.0,37.5,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,404,81,52,137,134,5,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,20.0,12.9,33.9,33.2,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,181,30,27,62,62,3,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,16.6,14.9,34.3,34.3,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,173,46,20,51,56,2,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,26.6,11.6,29.5,32.4,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,5,5,24,16,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,10.0,10.0,48.0,32.0,,
