,,,問9(9).ごみや空き缶、ガムなどを道に捨てた／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,83.1,8.6,6.6,1.6,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,246,31,60,13,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,70.3,8.9,17.1,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,143,17,37,9,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,69.4,8.3,18.0,4.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,459,31,17,3,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,90.0,6.1,3.3,0.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,251,18,3,0,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,92.3,6.6,1.1,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,197,12,14,3,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,87.2,5.3,6.2,1.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,11,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,91.7,8.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,695,556,63,56,20,23
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,80.0,9.1,8.1,2.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,192,155,23,9,5,11
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,80.7,12.0,4.7,2.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,276,29,26,10,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,80.9,8.5,7.6,2.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,125,11,21,5,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,77.2,6.8,13.0,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,636,507,58,50,21,18
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,79.7,9.1,7.9,3.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,293,243,32,14,4,12
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,82.9,10.9,4.8,1.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,263,194,24,30,15,5
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,73.8,9.1,11.4,5.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,70,2,6,2,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,87.5,2.5,7.5,2.5,
