,,,問9(2).先生の指示に従わなかった／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,140,62,46,10,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,54.3,24.0,17.8,3.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,194,72,42,69,11,7
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,37.1,21.6,35.6,5.7,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,741,389,130,186,36,30
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,52.5,17.5,25.1,4.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,302,190,47,53,12,19
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,62.9,15.6,17.5,4.0,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,358,159,72,105,22,11
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,44.4,20.1,29.3,6.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,40,11,28,2,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,49.4,13.6,34.6,2.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,796,412,121,217,46,23
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,51.8,15.2,27.3,5.8,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,150,45,46,3,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,61.5,18.4,18.9,1.2,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,347,174,52,94,27,11
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,50.1,15.0,27.1,7.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,205,88,24,77,16,4
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,42.9,11.7,37.6,7.8,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,508,238,118,133,19,23
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,46.9,23.2,26.2,3.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,137,66,62,7,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,50.4,24.3,22.8,2.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,224,95,49,68,12,9
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,42.4,21.9,30.4,5.4,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,6,3,3,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,50.0,25.0,25.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,693,388,136,145,24,25
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,56.0,19.6,20.9,3.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,114,39,31,7,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,59.7,20.4,16.2,3.7,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,339,189,72,66,12,6
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,55.8,21.2,19.5,3.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,85,25,48,5,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,52.1,15.3,29.4,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,636,342,114,145,35,18
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,53.8,17.9,22.8,5.5,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,293,186,59,39,9,12
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,63.5,20.1,13.3,3.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,118,38,86,22,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,44.7,14.4,32.6,8.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,79,38,17,20,4,2
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,48.1,21.5,25.3,5.1,
