,,,問11(6).それらの活動では、あなたは年齢の違う人と親しくなったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,32,28,44,64,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,19.0,16.7,26.2,38.1,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,19,21,26,32,2,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,19.4,21.4,26.5,32.7,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,510,96,98,103,213,3,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,18.8,19.2,20.2,41.8,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,222,47,37,41,97,3,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,21.2,16.7,18.5,43.7,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,245,41,51,50,103,0,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,16.7,20.8,20.4,42.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,8,10,12,13,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,18.6,23.3,27.9,30.2,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,427,66,80,119,162,6,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,15.5,18.7,27.9,37.9,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,142,25,33,31,53,6,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,17.6,23.2,21.8,37.3,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,183,33,28,50,72,0,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,18.0,15.3,27.3,39.3,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,8,19,38,37,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,7.8,18.6,37.3,36.3,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,368,45,68,97,158,4,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,12.2,18.5,26.4,42.9,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,189,21,39,56,73,3,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,11.1,20.6,29.6,38.6,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,170,23,27,38,82,1,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,13.5,15.9,22.4,48.2,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,1,2,3,3,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,11.1,22.2,33.3,33.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,412,65,76,101,170,4,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,15.8,18.4,24.5,41.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,119,17,16,27,59,4,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,14.3,13.4,22.7,49.6,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,38,46,50,79,0,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,17.8,21.6,23.5,37.1,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,10,14,24,32,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,12.5,17.5,30.0,40.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,404,68,72,97,167,5,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,16.8,17.8,24.0,41.3,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,182,28,33,38,83,2,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,15.4,18.1,20.9,45.6,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,172,38,25,43,66,3,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,22.1,14.5,25.0,38.4,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,2,14,16,18,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,4.0,28.0,32.0,36.0,,
