,,,問8(4).授業中、いすに座らずに立ち歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,256,22,16,40,178,12
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,8.6,6.3,15.6,69.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,19,44,64,69,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.7,22.4,32.7,35.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,749,49,99,186,415,22
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,6.5,13.2,24.8,55.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,305,22,22,67,194,16
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,7.2,7.2,22.0,63.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,21,64,97,181,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,5.8,17.6,26.7,49.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,6,13,22,40,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,7.4,16.0,27.2,49.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,797,61,111,229,396,22
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,7.7,13.9,28.7,49.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,240,12,11,37,180,12
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,5.0,4.6,15.4,75.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,33,44,112,161,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,9.4,12.6,32.0,46.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,16,56,80,55,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,7.7,27.1,38.6,26.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,27,48,145,290,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,5.3,9.4,28.4,56.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,8,17,71,177,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.9,6.2,26.0,64.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,18,29,66,112,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,8.0,12.9,29.3,49.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,2,8,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,16.7,66.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,695,58,80,189,368,23
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,8.3,11.5,27.2,52.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,13,12,37,129,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.8,6.3,19.4,67.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,33,41,98,169,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,9.7,12.0,28.7,49.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,12,27,54,70,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,7.4,16.6,33.1,42.9,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,637,50,66,160,361,17
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,7.8,10.4,25.1,56.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,11,17,62,204,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.7,5.8,21.1,69.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,263,35,41,71,116,5
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,13.3,15.6,27.0,44.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,4,8,27,41,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,5.0,10.0,33.8,51.3,
