,,,問6(5).仲間はずれになるくらいなら一緒に悪いことをしてしまう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.8,17.4,29.4,49.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,307,13,39,81,174,14
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,4.2,12.7,26.4,56.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,16,76,103,171,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.4,20.8,28.1,46.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,0,16,38,27,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,19.8,46.9,33.3,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,810,37,133,297,343,9
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.6,16.4,36.7,42.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,248,12,29,71,136,4
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.8,11.7,28.6,54.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,353,21,69,125,138,5
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,5.9,19.5,35.4,39.1,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,4,35,101,69,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,1.9,16.7,48.3,33.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,522,22,86,166,248,9
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.2,16.5,31.8,47.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,278,13,34,81,150,8
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,4.7,12.2,29.1,54.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,9,49,80,94,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,3.9,21.1,34.5,40.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,3,5,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,25.0,41.7,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,711,23,91,227,370,7
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,3.2,12.8,31.9,52.0,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,5,15,58,124,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,2.5,7.4,28.7,61.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,15,50,108,170,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,4.4,14.6,31.5,49.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,166,3,26,61,76,4
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,1.8,15.7,36.7,45.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,39,100,215,292,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.0,15.5,33.3,45.2,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,299,19,31,73,176,6
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,6.4,10.4,24.4,58.9,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,18,51,101,96,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,6.8,19.2,38.0,36.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,2,18,41,20,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.5,22.2,50.6,24.7,
