,,,問8(11).歩道いっぱいに広がって歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,509,25,55,164,265,22
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.9,10.8,32.2,52.1,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,13,37,68,154,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,4.8,13.6,25.0,56.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,12,18,90,105,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,5.3,8.0,40.0,46.7,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,0,6,6,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,0.0,50.0,50.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,691,35,73,214,369,27
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.1,10.6,31.0,53.4,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,189,5,23,55,106,14
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,2.6,12.2,29.1,56.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,20,37,114,170,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,5.9,10.9,33.4,49.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,161,10,13,45,93,9
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,6.2,8.1,28.0,57.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,638,41,75,200,322,16
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.4,11.8,31.3,50.5,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,13,24,79,178,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.4,8.2,26.9,60.5,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,28,47,92,97,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,10.6,17.8,34.8,36.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,0,4,29,47,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,5.0,36.3,58.8,
