,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,先輩,地域の大人,スクールカウンセラー,学校以外の相談窓口,その他,いない,不明
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,17.8,2.8,10.8,1.5,3.3,5.2,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,232,27,13,64,5,3,3,20
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,11.6,5.6,27.6,2.2,1.3,1.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,77,7,14,4,16,22,36
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,23.9,2.2,4.3,1.2,5.0,6.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,195,29,1,3,2,6,14,14
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,14.9,0.5,1.5,1.0,3.1,7.2,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,488,43,12,59,11,9,50,43
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,8.8,2.5,12.1,2.3,1.8,10.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,257,11,4,44,7,2,24,29
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,4.3,1.6,17.1,2.7,0.8,9.3,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,220,29,8,14,4,7,26,13
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,13.2,3.6,6.4,1.8,3.2,11.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,3,0,1,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,27.3,0.0,9.1,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,655,90,15,44,13,12,37,63
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,13.7,2.3,6.7,2.0,1.8,5.6,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,184,16,7,23,4,0,6,19
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,8.7,3.8,12.5,2.2,0.0,3.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,312,45,7,16,8,10,18,33
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,14.4,2.2,5.1,2.6,3.2,5.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,159,29,1,5,1,2,13,11
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,18.2,0.6,3.1,0.6,1.3,8.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,589,88,17,52,11,15,27,65
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,14.9,2.9,8.8,1.9,2.5,4.6,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,281,13,10,44,8,6,9,24
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.6,3.6,15.7,2.8,2.1,3.2,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,233,63,7,7,3,6,16,35
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,27.0,3.0,3.0,1.3,2.6,6.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,12,0,1,0,3,2,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,16.0,0.0,1.3,0.0,4.0,2.7,
