,,,問5(7).あなたは、先生に対して、ていねいな言葉づかいをする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,46.8,40.8,9.1,3.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,318,162,111,30,15,3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,50.9,34.9,9.4,4.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,167,160,34,7,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,45.4,43.5,9.2,1.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,30,42,6,3,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,37.0,51.9,7.4,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,815,400,329,68,18,4
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,49.1,40.4,8.3,2.2,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,153,84,8,6,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,61.0,33.5,3.2,2.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,171,135,39,10,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,48.2,38.0,11.0,2.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,76,110,21,2,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,36.4,52.6,10.0,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,234,229,49,14,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,44.5,43.5,9.3,2.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,128,120,28,5,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,45.6,42.7,10.0,1.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,103,101,20,9,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,44.2,43.3,8.6,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,3,8,1,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,25.0,66.7,8.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,313,325,63,15,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.7,45.4,8.8,2.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,98,76,20,7,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,48.8,37.8,10.0,3.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,160,157,23,5,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,46.4,45.5,6.7,1.4,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,55,92,20,3,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,32.4,54.1,11.8,1.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,651,294,276,60,21,3
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,45.2,42.4,9.2,3.2,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,303,144,119,33,7,2
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,47.5,39.3,10.9,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,116,115,23,13,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,43.4,43.1,8.6,4.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,34,42,4,1,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,42.0,51.9,4.9,1.2,
