,,,問9(7).夜、無灯火のままで自転車に乗った／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,73.8,12.7,8.5,5.0,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,146,21,21,8,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,74.5,10.7,10.7,4.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,544,62,85,55,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,72.9,8.3,11.4,7.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,230,26,31,16,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,75.9,8.6,10.2,5.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,259,31,42,30,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,71.5,8.6,11.6,8.3,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,55,5,12,9,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,67.9,6.2,14.8,11.1,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,581,56,88,75,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,72.6,7.0,11.0,9.4,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,196,25,14,9,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,80.3,10.2,5.7,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,349,245,20,42,42,9
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,70.2,5.7,12.0,12.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,140,11,32,24,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,67.6,5.3,15.5,11.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,508,376,61,49,22,23
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,74.0,12.0,9.6,4.3,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,270,193,33,33,11,16
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,71.5,12.2,12.2,4.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,174,25,16,11,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,77.0,11.1,7.1,4.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,9,3,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,75.0,25.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,569,45,47,35,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,81.8,6.5,6.8,5.0,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,192,162,16,10,4,11
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,84.4,8.3,5.2,2.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,278,22,21,20,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,81.5,6.5,6.2,5.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,129,7,16,11,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,79.1,4.3,9.8,6.7,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,640,521,36,34,49,14
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,81.4,5.6,5.3,7.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,295,254,13,10,18,10
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,86.1,4.4,3.4,6.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,202,19,20,24,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,76.2,7.2,7.5,9.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,65,4,4,7,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,81.3,5.0,5.0,8.8,
