,,,問11(8).それらの活動では、あなたは年下の人のめんどうをみたことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,18.7,16.6,27.6,37.1,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,33,25,34,51,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,23.1,17.5,23.8,35.7,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,183,37,27,45,74,0,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,20.2,14.8,24.6,40.4,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,10,19,39,34,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,9.8,18.6,38.2,33.3,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,368,57,69,101,141,4,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,15.5,18.8,27.4,38.3,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,189,37,36,59,57,3,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,19.6,19.0,31.2,30.2,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,170,19,29,41,81,1,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,11.2,17.1,24.1,47.6,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,1,4,1,3,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,11.1,44.4,11.1,33.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,413,70,69,112,162,3,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,16.9,16.7,27.1,39.2,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,120,21,19,31,49,3,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,17.5,15.8,25.8,40.8,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,38,33,58,84,0,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,17.8,15.5,27.2,39.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,11,17,23,29,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,13.8,21.3,28.8,36.3,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,406,81,74,107,144,3,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,20.0,18.2,26.4,35.5,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,183,36,24,48,75,1,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,19.7,13.1,26.2,41.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,173,41,36,42,54,2,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,23.7,20.8,24.3,31.2,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,4,14,17,15,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,8.0,28.0,34.0,30.0,,
