,,,問6(10).見知らぬ人に対してでも相手の立場になって考える／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,754,196,297,191,70,17
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,26.0,39.4,25.3,9.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,310,88,106,75,41,11
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,28.4,34.2,24.2,13.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,91,152,94,26,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,25.1,41.9,25.9,7.2,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,17,39,22,3,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,21.0,48.1,27.2,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,810,248,288,209,65,9
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,30.6,35.6,25.8,8.0,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,248,79,73,68,28,4
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,31.9,29.4,27.4,11.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,353,120,126,79,28,5
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,34.0,35.7,22.4,7.9,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,49,89,62,9,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,23.4,42.6,29.7,4.3,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,524,122,212,133,57,7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,23.3,40.5,25.4,10.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,280,58,97,84,41,6
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,20.7,34.6,30.0,14.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,63,110,44,15,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,27.2,47.4,19.0,6.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,5,5,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,41.7,41.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,709,210,275,164,60,9
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,29.6,38.8,23.1,8.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,199,50,72,56,21,4
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,25.1,36.2,28.1,10.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,111,130,76,25,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,32.5,38.0,22.2,7.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,49,73,32,14,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,29.2,43.5,19.0,8.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,642,167,251,162,62,12
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,26.0,39.1,25.2,9.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,86,110,75,27,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,28.9,36.9,25.2,9.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,263,67,97,67,32,5
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,25.5,36.9,25.5,12.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,14,44,20,3,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,17.3,54.3,24.7,3.7,
