,,,問9(1).友達を仲間はずれにした／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,150,49,23,3,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,66.7,21.8,10.2,1.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,8,4,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,66.7,33.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,504,112,73,5,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,72.6,16.1,10.5,0.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,119,46,23,3,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,62.3,24.1,12.0,1.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,340,251,50,37,2,5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,73.8,14.7,10.9,0.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,134,16,13,0,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,82.2,9.8,8.0,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,635,393,135,96,11,19
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,61.9,21.3,15.1,1.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,187,80,25,2,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,63.6,27.2,8.5,0.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,261,153,44,58,6,7
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,58.6,16.9,22.2,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,53,11,13,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,66.3,13.8,16.3,3.8,
