,,,問4(3).友達から何かをしてもらったのに、感謝の言葉を言わない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,11,30,62,160,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,4.2,11.4,23.6,60.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,10,21,65,102,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,5.1,10.6,32.8,51.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,766,32,91,254,389,5
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,4.2,11.9,33.2,50.8,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,317,19,45,87,166,4
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,6.0,14.2,27.4,52.4,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,11,40,134,183,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.0,10.9,36.4,49.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,2,6,33,40,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,7.4,40.7,49.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,811,33,93,280,405,8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.1,11.5,34.5,49.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,11,23,78,138,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.4,9.2,31.2,55.2,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,353,16,47,122,168,5
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,4.5,13.3,34.6,47.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,208,6,23,80,99,1
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.9,11.1,38.5,47.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,528,26,53,200,249,3
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,4.9,10.0,37.9,47.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,283,12,31,104,136,3
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,4.2,11.0,36.7,48.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,14,19,90,110,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,6.0,8.2,38.6,47.2,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,3,6,3,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,25.0,50.0,25.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,717,36,49,211,421,1
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.0,6.8,29.4,58.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,10,10,59,123,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,5.0,5.0,29.2,60.9,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,19,27,103,196,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,5.5,7.8,29.9,56.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,7,12,49,102,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.1,7.1,28.8,60.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,648,41,61,197,349,6
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.3,9.4,30.4,53.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,19,26,88,169,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,6.3,8.6,29.1,56.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,22,26,90,127,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,8.3,9.8,34.0,47.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,0,9,19,53,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,11.1,23.5,65.4,
