,,,問8(1).友達を仲間はずれにする人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,749,25,81,274,369,22
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.3,10.8,36.6,49.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,305,11,28,98,168,16
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,3.6,9.2,32.1,55.1,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,13,42,137,171,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.6,11.6,37.7,47.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,1,11,39,30,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,1.2,13.6,48.1,37.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,801,35,74,305,387,18
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.4,9.2,38.1,48.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,12,10,71,151,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.9,4.1,29.1,61.9,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,17,36,140,157,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,4.9,10.3,40.0,44.9,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,6,28,94,79,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.9,13.5,45.4,38.2,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,17,31,193,270,20
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.3,6.1,37.8,52.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,4,13,107,149,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,1.5,4.8,39.2,54.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,13,16,81,116,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,5.8,7.1,35.8,51.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,2,5,5,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,16.7,41.7,41.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,40,65,232,359,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.7,9.3,33.3,51.6,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,12,18,48,113,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.3,9.4,25.1,59.2,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,21,33,125,163,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,6.1,9.6,36.5,47.7,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,7,14,59,83,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.3,8.6,36.2,50.9,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,31,66,220,322,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,4.9,10.3,34.4,50.4,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,295,13,14,86,182,10
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.4,4.7,29.2,61.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,18,50,90,106,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,6.8,18.9,34.1,40.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,0,2,44,34,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,2.5,55.0,42.5,
