,,,問8(9).ごみや空き缶、ガムなどを道に捨てる人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,33,68,225,420,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,4.4,9.1,30.2,56.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,302,16,24,71,191,19
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,5.3,7.9,23.5,63.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,15,37,119,192,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.1,10.2,32.8,52.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,2,7,35,37,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,8.6,43.2,45.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,60,94,252,394,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,7.5,11.8,31.5,49.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,9,11,58,165,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,3.7,4.5,23.9,67.9,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,36,42,114,158,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,10.3,12.0,32.6,45.1,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,15,41,80,71,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,7.2,19.8,38.6,34.3,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,509,31,32,138,308,22
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,6.1,6.3,27.1,60.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,12,15,61,184,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,4.4,5.5,22.4,67.6,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,19,17,70,119,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,8.4,7.6,31.1,52.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,0,7,5,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,0.0,58.3,41.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,44,60,178,414,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.3,8.6,25.6,59.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,9,6,40,136,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,4.7,3.1,20.9,71.2,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,21,36,91,194,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,6.1,10.5,26.6,56.7,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,14,18,47,84,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,8.6,11.0,28.8,51.5,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,50,48,168,373,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,7.8,7.5,26.3,58.4,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,295,12,16,69,198,10
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.1,5.4,23.4,67.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,33,28,77,126,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,12.5,10.6,29.2,47.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,5,4,22,49,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,6.3,5.0,27.5,61.3,
