,,,問9(8).決められた場所以外に自転車を置いた／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,209,55,66,32,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,57.7,15.2,18.2,8.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,31,11,29,10,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,38.3,13.6,35.8,12.3,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,798,542,100,114,42,21
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,67.9,12.5,14.3,5.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,242,200,25,15,2,10
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,82.6,10.3,6.2,0.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,349,240,47,44,18,9
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,68.8,13.5,12.6,5.2,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,102,28,55,22,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,49.3,13.5,26.6,10.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,356,69,72,13,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,69.8,13.5,14.1,2.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,194,38,35,5,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,71.3,14.0,12.9,1.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,157,28,33,8,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,69.5,12.4,14.6,3.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,5,3,4,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,41.7,25.0,33.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,695,565,68,43,19,23
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,81.3,9.8,6.2,2.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,192,164,16,7,5,11
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,85.4,8.3,3.6,2.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,283,33,17,8,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,83.0,9.7,5.0,2.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,118,19,19,6,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,72.8,11.7,11.7,3.7,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,508,56,49,26,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,79.5,8.8,7.7,4.1,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,249,28,9,8,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,84.7,9.5,3.1,2.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,204,15,31,15,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,77.0,5.7,11.7,5.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,55,13,9,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,68.8,16.3,11.3,3.8,
