,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(3位)／合計,地域の人々の交流が深まること,町をきれ,その他,不明
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,13.2,9.6,0.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,156,23,12,1,14
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,14.7,7.7,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,590,60,73,4,64
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,10.2,12.4,0.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,25,43,3,25
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,8.9,15.4,1.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,235,28,26,1,33
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,11.9,11.1,0.4,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,7,4,0,6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,9.3,5.3,0.0,
