,,,問11(2).それらの活動では、あなたはやっていて楽しかったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.0,8.6,33.1,56.3,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,1,9,17,16,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.3,20.9,39.5,37.2,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,427,18,38,128,243,6,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.2,8.9,30.0,56.9,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,6,11,31,95,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.2,7.7,21.7,66.4,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,182,8,14,57,103,1,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,4.4,7.7,31.3,56.6,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,4,13,40,45,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.9,12.7,39.2,44.1,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,369,10,22,117,220,3,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,2.7,6.0,31.7,59.6,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,189,3,15,50,121,3,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,1.6,7.9,26.5,64.0,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,171,6,6,63,96,0,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,3.5,3.5,36.8,56.1,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,1,1,4,3,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,11.1,11.1,44.4,33.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,413,12,46,141,214,3,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.9,11.1,34.1,51.8,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,120,4,9,28,79,3,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,3.3,7.5,23.3,65.8,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,6,27,79,101,0,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,2.8,12.7,37.1,47.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,2,10,34,34,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,2.5,12.5,42.5,42.5,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,404,22,38,118,226,5,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,5.4,9.4,29.2,55.9,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,182,7,11,41,123,2,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.8,6.0,22.5,67.6,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,172,15,17,62,78,3,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,8.7,9.9,36.0,45.3,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,0,10,15,25,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,20.0,30.0,50.0,,
