,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,80.5,39.4,23.2,19.9,49.4,33.6,56.8
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,174,118,38,31,13,59,37,77
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,67.8,21.8,17.8,7.5,33.9,21.3,44.3
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,698,505,230,135,117,277,171,358
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,72.3,33.0,19.3,16.8,39.7,24.5,51.3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,288,226,102,58,54,116,84,135
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,78.5,35.4,20.1,18.8,40.3,29.2,46.9
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,336,227,111,69,58,138,75,191
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,67.6,33.0,20.5,17.3,41.1,22.3,56.8
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,74,52,17,8,5,23,12,32
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,70.3,23.0,10.8,6.8,31.1,16.2,43.2
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,740,526,240,159,114,274,150,375
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,71.1,32.4,21.5,15.4,37.0,20.3,50.7
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,220,188,94,48,51,109,72,130
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,85.5,42.7,21.8,23.2,49.5,32.7,59.1
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,324,212,101,84,49,119,56,186
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,65.4,31.2,25.9,15.1,36.7,17.3,57.4
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,126,45,27,14,46,22,59
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,64.3,23.0,13.8,7.1,23.5,11.2,30.1
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,470,322,135,99,60,167,86,235
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,68.5,28.7,21.1,12.8,35.5,18.3,50.0
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,248,175,72,54,28,108,47,115
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,70.6,29.0,21.8,11.3,43.5,19.0,46.4
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,210,138,61,42,32,57,36,114
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,65.7,29.0,20.0,15.2,27.1,17.1,54.3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,9,2,3,0,2,3,6
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,75.0,16.7,25.0,0.0,16.7,25.0,50.0
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,653,439,194,148,108,243,122,314
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,67.2,29.7,22.7,16.5,37.2,18.7,48.1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,179,132,60,50,38,81,41,95
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,73.7,33.5,27.9,21.2,45.3,22.9,53.1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,317,215,102,70,55,114,53,159
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,67.8,32.2,22.1,17.4,36.0,16.7,50.2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,157,92,32,28,15,48,28,60
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,58.6,20.4,17.8,9.6,30.6,17.8,38.2
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,564,381,175,122,78,206,97,288
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,67.6,31.0,21.6,13.8,36.5,17.2,51.1
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,245,181,82,61,34,112,47,135
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,73.9,33.5,24.9,13.9,45.7,19.2,55.1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,245,155,75,53,38,74,38,120
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,63.3,30.6,21.6,15.5,30.2,15.5,49.0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,74,45,18,8,6,20,12,33
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,60.8,24.3,10.8,8.1,27.0,16.2,44.6
