,,,問6(4).友達がみんなで悪いことをしているのに自分だけ裏切れない／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,11.2,18.9,28.6,41.3,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,13,66,75,44,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,6.6,33.3,37.9,22.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,740,60,175,243,262,31
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,8.1,23.6,32.8,35.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,301,27,64,80,130,20
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,9.0,21.3,26.6,43.2,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,360,33,93,120,114,9
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,9.2,25.8,33.3,31.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,79,0,18,43,18,2
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,22.8,54.4,22.8,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,803,56,176,305,266,16
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,7.0,21.9,38.0,33.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,249,16,44,82,107,3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,6.4,17.7,32.9,43.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,345,32,91,110,112,13
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,9.3,26.4,31.9,32.5,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,8,41,113,47,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.8,19.6,54.1,22.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,515,39,121,183,172,16
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,7.6,23.5,35.5,33.4,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,270,19,52,95,104,16
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,7.0,19.3,35.2,38.5,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,19,64,83,67,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,8.2,27.5,35.6,28.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,5,5,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,41.7,41.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,707,42,151,227,287,11
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,5.9,21.4,32.1,40.6,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,198,8,47,43,100,5
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,4.0,23.7,21.7,50.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,24,74,111,133,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,7.0,21.6,32.5,38.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,167,10,30,73,54,3
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,6.0,18.0,43.7,32.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,641,69,135,205,232,13
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,10.8,21.1,32.0,36.2,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,300,40,40,84,136,5
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,13.3,13.3,28.0,45.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,261,26,75,82,78,7
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,10.0,28.7,31.4,29.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,3,20,39,18,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,3.8,25.0,48.8,22.5,
