,,,問9(3).授業中、おしゃべりをした／合計,まったくない,1回ある,数回ある,何度もある,不明
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,270,37,56,129,48,16
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,13.7,20.7,47.8,17.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,225,23,25,101,76,8
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,10.2,11.1,44.9,33.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,2,2,6,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,16.7,16.7,50.0,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,96,97,289,212,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,13.8,14.0,41.6,30.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,33,34,86,38,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,17.3,17.8,45.0,19.9,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,44,52,139,106,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,12.9,15.2,40.8,31.1,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,19,11,64,68,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,11.7,6.8,39.5,42.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,634,98,103,280,153,20
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,15.5,16.2,44.2,24.1,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,293,59,62,129,43,12
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,20.1,21.2,44.0,14.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,262,28,32,120,82,6
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,10.7,12.2,45.8,31.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,79,11,9,31,28,2
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,13.9,11.4,39.2,35.4,
