,,,問11(7).それらの活動では、あなたは年上の人にめんどうをみてもらったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,18.4,17.3,32.7,31.6,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,510,83,90,134,203,3,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,16.3,17.6,26.3,39.8,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,38,42,62,81,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,17.0,18.8,27.8,36.3,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,244,37,38,59,110,1,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,15.2,15.6,24.2,45.1,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,8,10,13,12,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,18.6,23.3,30.2,27.9,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,428,71,72,109,176,5,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,16.6,16.8,25.5,41.1,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,31,28,37,47,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,21.7,19.6,25.9,32.9,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,183,35,29,36,83,0,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,19.1,15.8,19.7,45.4,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,5,15,36,46,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.9,14.7,35.3,45.1,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,368,51,68,95,154,4,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,13.9,18.5,25.8,41.8,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,189,32,41,49,67,3,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,16.9,21.7,25.9,35.4,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,170,19,26,41,84,1,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,11.2,15.3,24.1,49.4,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,0,1,5,3,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,11.1,55.6,33.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,412,67,61,113,171,4,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,16.3,14.8,27.4,41.5,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,119,26,16,29,48,4,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,21.8,13.4,24.4,40.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,30,38,61,84,0,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,14.1,17.8,28.6,39.4,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,11,7,23,39,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,13.8,8.8,28.8,48.8,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,405,82,74,97,152,4,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,20.2,18.3,24.0,37.5,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,182,36,43,32,71,2,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,19.8,23.6,17.6,39.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,173,45,23,44,61,2,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,26.0,13.3,25.4,35.3,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,1,8,21,20,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.0,16.0,42.0,40.0,,
