,,,問7(2).他人が困ると分かっていても、自分のしたいことをする／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,4.5,13.1,48.7,33.6,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,10,26,114,114,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.8,9.8,43.2,43.2,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,11,35,111,42,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,5.5,17.6,55.8,21.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,758,18,125,382,233,13
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,2.4,16.5,50.4,30.7,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,311,7,51,140,113,10
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,2.3,16.4,45.0,36.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,10,62,185,109,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.7,16.9,50.5,29.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,1,12,57,11,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,1.2,14.8,70.4,13.6,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,816,24,130,426,236,3
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,2.9,15.9,52.2,28.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,7,30,115,99,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.8,12.0,45.8,39.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,356,10,63,175,108,2
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,2.8,17.7,49.2,30.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,7,37,136,29,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.3,17.7,65.1,13.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,525,18,64,274,169,6
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.4,12.2,52.2,32.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,7,37,139,98,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.5,13.2,49.5,34.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,10,25,126,71,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,4.3,10.8,54.3,30.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,1,2,9,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,8.3,16.7,75.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,711,30,75,349,257,7
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,4.2,10.5,49.1,36.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,11,17,76,97,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,5.5,8.5,37.8,48.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,15,41,175,111,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,4.4,12.0,51.2,32.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,4,17,98,49,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,2.4,10.1,58.3,29.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,29,98,301,218,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,4.5,15.2,46.6,33.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,11,27,119,141,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.7,9.1,39.9,47.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,18,53,130,66,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,6.7,19.9,48.7,24.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,0,18,52,11,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,22.2,64.2,13.6,
