,,,問5(6).あなたは、友達に迷惑をかけたときには、謝る／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,145,48,4,4,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,72.1,23.9,2.0,2.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,254,78,4,8,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,73.8,22.7,1.2,2.3,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,134,32,3,1,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,78.8,18.8,1.8,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,640,456,157,12,15,14
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,71.3,24.5,1.9,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,297,218,67,5,7,8
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,73.4,22.6,1.7,2.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,262,184,67,5,6,6
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,70.2,25.6,1.9,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,54,23,2,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,66.7,28.4,2.5,2.5,
