,,,問4(5).友達にうそをつく人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,200,12,22,59,107,3
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.0,11.0,29.5,53.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,25,46,115,157,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,7.3,13.4,33.5,45.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,170,8,30,57,75,0
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,4.7,17.6,33.5,44.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,646,41,93,231,281,8
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,6.3,14.4,35.8,43.5,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,300,13,35,83,169,5
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.3,11.7,27.7,56.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,25,48,112,80,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,9.4,18.1,42.3,30.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,3,10,36,32,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,3.7,12.3,44.4,39.5,
