,,,問8(13).道路や駅など公共の場でスマートフォンの画面を見ながら歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,45,98,112,108,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,12.4,27.0,30.9,29.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,9,32,25,15,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,11.1,39.5,30.9,18.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,801,119,210,243,229,18
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,14.9,26.2,30.3,28.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,30,45,72,97,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,12.3,18.4,29.5,39.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,57,90,100,103,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,16.3,25.7,28.6,29.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,32,75,71,29,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,15.5,36.2,34.3,14.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,512,75,104,184,149,19
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,14.6,20.3,35.9,29.1,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,274,33,49,103,89,12
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,12.0,17.9,37.6,32.5,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,40,51,77,58,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,17.7,22.6,34.1,25.7,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,2,4,4,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,16.7,33.3,33.3,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,697,101,167,202,227,21
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,14.5,24.0,29.0,32.6,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,192,21,25,46,100,11
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,10.9,13.0,24.0,52.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,56,82,109,95,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,16.4,24.0,31.9,27.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,24,60,47,32,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,14.7,36.8,28.8,19.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,640,97,138,193,212,14
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,15.2,21.6,30.2,33.1,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,33,43,84,136,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,11.1,14.5,28.4,45.9,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,55,80,72,57,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,20.8,30.3,27.3,21.6,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,9,15,37,19,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,11.3,18.8,46.3,23.8,
