,,,問6(2).悪いことをしても、バレなければよい／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,762,23,108,251,380,9
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.0,14.2,32.9,49.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,313,7,28,88,190,8
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,2.2,8.9,28.1,60.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,11,56,128,173,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.0,15.2,34.8,47.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,5,24,35,17,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,6.2,29.6,43.2,21.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,811,22,125,299,365,8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,2.7,15.4,36.9,45.0,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,249,5,18,65,161,3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.0,7.2,26.1,64.7,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,353,10,60,122,161,5
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,2.8,17.0,34.6,45.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,7,47,112,43,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.3,22.5,53.6,20.6,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,524,20,62,186,256,7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.8,11.8,35.5,48.9,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,280,6,32,91,151,6
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.1,11.4,32.5,53.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,14,27,88,103,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,6.0,11.6,37.9,44.4,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,3,7,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,25.0,58.3,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,712,21,71,219,401,6
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.9,10.0,30.8,56.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,200,3,10,57,130,3
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,1.5,5.0,28.5,65.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,12,40,108,184,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,3.5,11.6,31.4,53.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,6,21,54,87,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,3.6,12.5,32.1,51.8,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,645,21,83,187,354,9
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,3.3,12.9,29.0,54.9,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,6,15,71,206,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,2.0,5.0,23.8,69.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,12,49,82,123,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,4.5,18.4,30.8,46.2,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,3,19,34,25,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,3.7,23.5,42.0,30.9,
