,,,問11(5).それらの活動では、あなたは人の役に立ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,22,38,63,45,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,13.1,22.6,37.5,26.8,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,13,17,43,25,2,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,13.3,17.3,43.9,25.5,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,510,57,120,187,146,3,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,11.2,23.5,36.7,28.6,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,24,61,74,64,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,10.8,27.4,33.2,28.7,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,244,27,49,96,72,1,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,11.1,20.1,39.3,29.5,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,6,10,17,10,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,14.0,23.3,39.5,23.3,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,428,52,78,155,143,5,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,12.1,18.2,36.2,33.4,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,20,24,44,55,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,14.0,16.8,30.8,38.5,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,183,24,33,66,60,0,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,13.1,18.0,36.1,32.8,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,8,21,45,28,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,7.8,20.6,44.1,27.5,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,365,30,96,133,106,7,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,8.2,26.3,36.4,29.0,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,187,19,58,62,48,5,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,10.2,31.0,33.2,25.7,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,169,11,36,65,57,2,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,6.5,21.3,38.5,33.7,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,0,2,6,1,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,22.2,66.7,11.1,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,412,27,69,180,136,4,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,6.6,16.7,43.7,33.0,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,120,12,15,51,42,3,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,10.0,12.5,42.5,35.0,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,212,10,39,93,70,1,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,4.7,18.4,43.9,33.0,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,5,15,36,24,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,6.3,18.8,45.0,30.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,401,54,95,137,115,8,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,13.5,23.7,34.2,28.7,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,180,28,38,60,54,4,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,15.6,21.1,33.3,30.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,172,26,40,58,48,3,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,15.1,23.3,33.7,27.9,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,49,0,17,19,13,1,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,34.7,38.8,26.5,,
