,,,問5(2).あなたは、自分の名前を呼ばれたら、きちんと返事をする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,63.9,34.6,1.1,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,99,88,11,0,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,50.0,44.4,5.6,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,766,419,310,29,8,5
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,54.7,40.5,3.8,1.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,318,208,95,11,4,3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,65.4,29.9,3.5,1.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,177,173,13,4,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,48.2,47.1,3.5,1.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,34,42,5,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,42.0,51.9,6.2,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,813,454,321,35,3,6
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,55.8,39.5,4.3,0.4,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,168,78,4,1,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,66.9,31.1,1.6,0.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,183,147,22,2,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,51.7,41.5,6.2,0.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,208,103,96,9,0,1
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,49.5,46.2,4.3,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,525,270,232,20,3,6
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,51.4,44.2,3.8,0.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,144,127,9,1,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,51.2,45.2,3.2,0.4,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,120,100,10,2,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,51.7,43.1,4.3,0.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,6,5,1,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,50.0,41.7,8.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,716,407,276,27,6,2
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,56.8,38.5,3.8,0.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,129,59,11,3,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,63.9,29.2,5.4,1.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,345,183,149,10,3,0
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,53.0,43.2,2.9,0.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,169,95,68,6,0,1
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,56.2,40.2,3.6,0.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,650,357,261,27,5,4
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,54.9,40.2,4.2,0.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,302,183,109,9,1,3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,60.6,36.1,3.0,0.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,267,137,113,14,3,1
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,51.3,42.3,5.2,1.1,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,37,39,4,1,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,45.7,48.1,4.9,1.2,
