,,,問6(6).悪いことでもみんなで一緒にやれば平気でできてしまう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.4,9.2,25.6,61.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,9,45,71,74,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,4.5,22.6,35.7,37.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,760,27,81,242,410,11
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.6,10.7,31.8,53.9,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,9,25,75,205,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,2.9,8.0,23.9,65.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,16,46,129,175,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,4.4,12.6,35.2,47.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,80,2,10,38,30,1
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,12.5,47.5,37.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,37,120,282,375,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.5,14.7,34.6,46.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,12,26,56,156,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.8,10.4,22.4,62.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,20,55,130,150,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,5.6,15.5,36.6,42.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,5,39,96,69,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.4,18.7,45.9,33.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,524,19,64,172,269,7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.6,12.2,32.8,51.3,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,280,9,28,84,159,6
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.2,10.0,30.0,56.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,10,32,82,108,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,4.3,13.8,35.3,46.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,4,6,2,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,33.3,50.0,16.7,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,712,21,70,226,395,6
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.9,9.8,31.7,55.5,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,2,20,60,120,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,1.0,9.9,29.7,59.4,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,13,37,101,192,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,3.8,10.8,29.4,56.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,167,6,13,65,83,3
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,3.6,7.8,38.9,49.7,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,644,30,75,194,345,10
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,4.7,11.6,30.1,53.6,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,13,27,63,195,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,4.4,9.1,21.1,65.4,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,15,38,93,119,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,5.7,14.3,35.1,44.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,2,10,38,31,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.5,12.3,46.9,38.3,
