,,,問6(7).周(まわ)りから変な人と思われないように気をつけている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,35.9,31.6,20.1,12.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,208,36,82,64,26,1
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,17.3,39.4,30.8,12.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,526,143,153,124,106,5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,27.2,29.1,23.6,20.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,90,78,60,53,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,32.0,27.8,21.4,18.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,53,68,60,52,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,22.7,29.2,25.8,22.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,7,4,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,58.3,33.3,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,710,198,213,162,137,8
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,27.9,30.0,22.8,19.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,199,61,54,45,39,4
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,30.7,27.1,22.6,19.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,100,97,80,67,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,29.1,28.2,23.3,19.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,167,37,62,37,31,3
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,22.2,37.1,22.2,18.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,643,211,211,121,100,11
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,32.8,32.8,18.8,15.6,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,297,107,87,56,47,8
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,36.0,29.3,18.9,15.8,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,88,84,51,42,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,33.2,31.7,19.2,15.8,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,16,40,14,11,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,19.8,49.4,17.3,13.6,
