,,,問6(3).人に怒られなければ何をしてもよいと思う／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,3.9,6.1,36.4,53.7,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,2,6,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,16.7,50.0,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,705,14,37,222,432,13
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,2.0,5.2,31.5,61.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,199,1,7,53,138,4
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,0.5,3.5,26.6,69.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,340,11,22,116,191,5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,3.2,6.5,34.1,56.2,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,166,2,8,53,103,4
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,1.2,4.8,31.9,62.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,634,20,51,184,379,20
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,3.2,8.0,29.0,59.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,290,8,13,58,211,15
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,2.8,4.5,20.0,72.8,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,10,28,93,133,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,3.8,10.6,35.2,50.4,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,2,10,33,35,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.5,12.5,41.3,43.8,
