産業分類階層,産業コード,産業細分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
2,0950,糖類製造業,4,113,88,6,119,94,-,91330,763314,1340125,1318932,x,-,x,-,520018,538885,1144706,107934,2224,46093
3,0951,砂糖製造業（砂糖精製業を除く）,1,10,4,-,10,4,-,x,x,x,x,x,-,x,-,x,x,-,-,-,-
3,0952,砂糖精製業,3,103,84,6,109,90,-,x,x,x,x,x,-,-,-,x,x,1144706,107934,2224,46093
2,0960,精穀・製粉業,18,410,336,1,411,337,-,192446,4656277,5419119,5283229,79374,-,22,56494,646214,703606,389362,27908,6983,39557
3,0961,精米・精麦業,8,145,114,1,146,115,-,56436,2926401,3344030,3327170,226,-,-,16634,372192,387331,36002,248,-,7821
3,0962,小麦粉製造業,2,116,102,-,116,102,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,0969,その他の精穀・製粉業,8,149,120,-,149,120,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,0970,パン・菓子製造業,206,9705,4956,1,9686,4945,20,3444561,8525386,19084284,17528762,133561,-,-,1421961,9438453,9811513,4230139,469584,13955,374541
3,0971,パン製造業,39,4961,2982,1,4962,2983,-,1979610,5432421,11729390,10645780,86042,-,-,997568,5605335,5852619,2272487,274024,5939,241708
3,0972,生菓子製造業,80,2564,1074,-,2559,1070,5,751533,1418419,3639290,3485273,9169,-,-,144848,1990185,2059240,1011969,32615,6213,69382
3,0973,ビスケット類・干菓子製造業,26,774,322,-,770,320,4,245658,410091,941310,933136,1992,-,-,6182,480281,498296,376109,18592,244,17803
3,0974,米菓製造業,28,418,185,-,413,181,5,142103,159777,437150,434332,-,-,-,2818,251512,257440,82363,4359,-,6119
3,0979,その他のパン・菓子製造業,33,988,393,-,982,391,6,325657,1104678,2337144,2030241,36358,-,-,270545,1111140,1143918,487211,139994,1559,39529
2,0980,動植物油脂製造業,16,602,447,22,624,468,-,415220,2457353,3282791,2221772,172485,-,21385,867149,683196,769034,720277,47740,254,85226
3,0981,動植物油脂製造業（食用油脂加工業を除く）,13,165,139,2,167,140,-,102013,800009,930823,713151,172485,-,21385,23802,105660,120943,204250,429,-,14272
3,0982,食用油脂加工業,3,437,308,20,457,328,-,313207,1657344,2351968,1508621,-,-,-,843347,577536,648091,516027,47311,254,70954
2,0990,その他の食料品製造業,269,13238,5815,21,13249,5815,10,3770218,12017419,21979070,19974232,113262,-,-,1891576,8934621,9288038,4427700,499721,27090,381496
3,0992,めん類製造業,76,1756,976,10,1763,977,3,546426,1030523,2190817,2136651,14469,-,-,39697,1036451,1078617,486405,53144,2590,41972
3,0993,豆腐・油揚製造業,19,232,120,-,228,116,4,54063,148968,286818,218773,-,-,-,68045,126762,127853,129053,2519,-,649
3,0994,あん類製造業,12,312,190,-,312,190,-,99924,396701,873596,869182,770,-,-,3644,431956,441736,123044,-,-,11104
3,0995,冷凍調理食品製造業,8,149,68,-,149,68,-,61225,120295,271448,259404,-,-,-,12044,138111,139992,12530,3320,115,1898
3,0996,そう（惣）菜製造業,35,2922,1348,1,2923,1349,-,841384,3166766,4771059,4667864,1310,-,-,101885,1439265,1493390,548086,81438,7905,56896
3,0997,すし・弁当・調理パン製造業,37,4875,1713,1,4876,1714,-,1170196,3721563,6902115,6895383,304,-,-,6428,2848906,2969845,1427232,99011,4561,120046
3,0999,他に分類されない食料品製造業,82,2992,1400,9,2998,1401,3,997000,3432603,6683217,4926975,96409,-,-,1659833,2913170,3036605,1701350,260289,11919,148931
1,1000,飲料・たばこ・飼料製造業,40,1175,867,3,1176,868,2,562973,5314640,10319286,9870042,429565,x,x,18859,2247829,2454259,3987684,165530,16409,224914
2,1010,清涼飲料製造業,10,479,385,-,478,384,1,225056,3335500,x,3871688,410055,x,-,-,799969,877242,2842227,32285,427,92370
3,1011,清涼飲料製造業,10,479,385,-,478,384,1,225056,3335500,x,3871688,410055,x,-,-,799969,877242,2842227,32285,427,92370
2,1020,酒類製造業,11,365,270,3,367,272,1,x,x,x,x,x,-,x,x,x,x,1145457,133245,15982,132544
3,1022,ビール類製造業,2,174,147,-,174,147,-,x,x,x,x,-,-,x,x,x,x,x,x,x,x
3,1023,清酒製造業,5,161,103,3,163,105,1,77365,53155,187662,187384,278,-,-,-,91566,97022,100473,6173,10048,4880
3,1024,蒸留酒・混成酒製造業,4,30,20,-,30,20,-,5967,6259,42062,29078,-,-,-,12984,22317,22317,x,x,x,x
2,1030,茶・コーヒー製造業（清涼飲料を除く）,9,122,64,-,122,64,-,34840,254125,365278,343108,19170,-,-,3000,102885,102885,-,-,-,-
3,1031,製茶業,4,53,18,-,53,18,-,10126,33494,50863,28693,19170,-,-,3000,16004,16004,-,-,-,-
3,1032,コーヒー製造業,5,69,46,-,69,46,-,24714,220631,314415,314415,-,-,-,-,86881,86881,-,-,-,-
2,1040,製氷業,2,47,47,-,47,47,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1041,製氷業,2,47,47,-,47,47,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1060,飼料・有機質肥料製造業,8,162,101,-,162,101,-,66561,104342,209063,206745,62,-,820,1436,96996,96996,-,-,-,-
3,1061,配合飼料製造業,6,116,64,-,116,64,-,x,x,x,x,62,-,x,1436,x,x,-,-,-,-
3,1062,単体飼料製造業,1,28,24,-,28,24,-,x,x,x,x,-,-,x,-,x,x,-,-,-,-
3,1063,有機質肥料製造業,1,18,13,-,18,13,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
1,1100,繊維工業,365,4148,1593,17,4122,1570,43,1249111,2960791,5447129,3429365,1411229,11222,-,595313,2287312,2308196,478914,66670,208,19618
2,1120,織物業,8,78,22,-,76,22,2,22335,54075,92353,88191,4162,-,-,-,35278,35278,-,-,-,-
3,1121,綿・スフ織物業,1,4,1,-,4,1,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1122,絹・人絹織物業,5,46,12,-,45,12,1,12664,18713,36133,x,x,-,-,-,16054,16054,-,-,-,-
3,1124,麻織物業,1,12,1,-,11,1,1,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1125,細幅織物業,1,16,8,-,16,8,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1130,ニット生地製造業,6,57,38,-,57,38,-,18227,42150,77948,52495,24515,-,-,938,32993,32993,-,-,-,-
3,1131,丸編ニット生地製造業,2,32,25,-,32,25,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1133,横編ニット生地製造業,4,25,13,-,25,13,-,x,x,x,x,x,-,-,938,x,x,-,-,-,-
2,1140,染色整理業,33,340,204,-,335,200,5,99936,72825,254074,41409,199183,-,-,13482,167667,167667,-,-,-,-
3,1142,絹・人絹織物機械染色業,1,4,3,-,4,3,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1144,織物整理業,2,12,4,-,12,4,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,1145,織物手加工染色整理業,18,158,87,-,153,83,5,38914,29066,94358,35582,58203,-,-,573,60173,60173,-,-,-,-
3,1146,綿状繊維・糸染色整理業,3,39,23,-,39,23,-,8011,8028,25429,-,25320,-,-,109,16037,16037,-,-,-,-
3,1147,ニット・レース染色整理業,3,52,37,-,52,37,-,19731,18249,59066,5827,40694,-,-,12545,38242,38242,-,-,-,-
3,1148,繊維雑品染色整理業,6,75,50,-,75,50,-,28641,16604,66781,-,66526,-,-,255,46246,46246,-,-,-,-
2,1150,綱・網・レース・繊維粗製品製造業,10,125,66,-,125,66,-,48731,64454,143029,110928,23274,49,-,8778,72419,72419,-,-,-,-
3,1151,綱製造業,2,17,6,-,17,6,-,x,x,x,x,x,x,-,-,x,x,-,-,-,-
3,1155,組ひも製造業,2,21,9,-,21,9,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1157,フェルト・不織布製造業,3,57,35,-,57,35,-,28795,45559,89018,59748,20934,-,-,8336,40054,40054,-,-,-,-
3,1158,上塗りした織物・防水した織物製造業,1,10,6,-,10,6,-,x,x,x,-,x,x,-,x,x,x,-,-,-,-
3,1159,その他の繊維粗製品製造業,2,20,10,-,20,10,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1160,外衣・シャツ製造業（和式を除く）,141,1484,523,17,1483,516,18,441105,1653547,2725076,1777745,578513,144,-,368674,979008,990762,89596,4500,-,3198
3,1161,織物製成人男子・少年服製造業（不織布製及びレース製を含む）,8,75,47,-,74,46,1,23230,69168,120590,86622,24420,-,-,9548,47395,47395,-,-,-,-
3,1162,織物製成人女子・少女服製造業（不織布製及びレース製を含む）,55,565,146,-,552,138,13,140234,189454,482170,185160,287519,144,-,9347,270233,270986,19333,-,-,753
3,1163,織物製乳幼児服製造業（不織布製及びレース製を含む）,1,21,4,-,21,4,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1164,織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）,5,32,17,-,32,17,-,7394,7119,18333,12963,5370,-,-,-,10335,10335,-,-,-,-
3,1165,織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）,10,109,46,2,111,48,-,41635,105100,191575,87613,8218,-,-,95744,79931,79931,-,-,-,-
3,1166,ニット製外衣製造業（アウターシャツ類、セーター類などを除く）,4,43,19,13,56,20,-,x,x,x,x,124831,-,-,108500,x,x,-,-,-,-
3,1167,ニット製アウターシャツ類製造業,43,493,180,2,492,180,3,159241,857023,1284581,1176199,107569,-,-,813,384353,395354,70263,4500,-,2445
3,1168,セーター類製造業,9,86,37,-,86,37,-,18181,39066,71506,64734,6772,-,-,-,29900,29900,-,-,-,-
3,1169,その他の外衣・シャツ製造業,6,60,27,-,59,26,1,23800,126885,188563,30027,13814,-,-,144722,56846,56846,-,-,-,-
2,1170,下着類製造業,3,25,5,-,22,4,3,4104,17097,24292,21681,885,-,-,1726,6632,6632,-,-,-,-
3,1171,織物製下着製造業,1,8,1,-,5,-,3,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1172,ニット製下着製造業,1,9,4,-,9,4,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1173,織物製・ニット製寝着類製造業,1,8,-,-,8,-,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,1180,和装製品・その他の衣服・繊維製身の回り品製造業,63,648,219,-,643,215,5,168476,307507,628210,373359,225591,10073,-,19187,297516,299483,53157,36447,-,1967
3,1181,和装製品製造業（足袋を含む）,25,301,98,-,300,97,1,84102,149455,313303,126938,161447,9143,-,15775,152968,154860,52839,36136,-,1892
3,1182,ネクタイ製造業,6,50,13,-,50,13,-,13634,38741,64212,46763,17062,-,-,387,23507,23507,-,-,-,-
3,1183,スカーフ・マフラー・ハンカチーフ製造業,2,13,3,-,13,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1184,靴下製造業,4,52,13,-,52,13,-,5406,10428,21183,15363,5820,-,-,-,9862,9937,318,311,-,75
3,1185,手袋製造業,1,4,3,-,3,2,1,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1186,帽子製造業（帽体を含む）,12,133,54,-,133,54,-,43891,71340,150261,132727,17534,-,-,-,72740,72740,-,-,-,-
3,1189,他に分類されない衣服・繊維製身の回り品製造業,13,95,35,-,92,33,3,18302,34722,72200,50640,17605,930,-,3025,34541,34541,-,-,-,-
2,1190,その他の繊維製品製造業,101,1391,516,-,1381,509,10,446197,749136,1502147,963557,355106,956,-,182528,695799,702962,336161,25723,208,14453
3,1191,寝具製造業,3,74,15,-,74,15,-,15245,5971,13738,7288,439,-,-,6011,4798,7512,19216,275,-,2714
3,1193,じゅうたん・その他の繊維製床敷物製造業,1,5,5,-,5,5,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
3,1194,帆布製品製造業,17,108,73,-,106,71,2,40413,54714,150493,109238,27541,-,-,13714,88275,88275,-,-,-,-
3,1195,繊維製袋製造業,2,19,4,-,19,4,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1196,刺しゅう業,26,213,66,-,208,63,5,59206,68348,180926,44638,135593,40,-,655,103761,103761,-,-,-,-
3,1197,タオル製造業,2,157,46,-,157,46,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1198,繊維製衛生材料製造業,6,189,74,-,189,74,-,71984,63649,121965,117155,3067,596,-,1147,51541,53851,79862,1087,32,2653
3,1199,他に分類されない繊維製品製造業,44,626,233,-,623,231,3,216391,453988,881960,532218,188421,320,-,161001,398607,402766,86457,21666,81,4385
1,1200,木材・木製品製造業（家具を除く）,55,555,429,3,555,428,3,230827,588997,1076579,986457,x,x,-,32993,423270,457277,x,x,x,x
2,1210,製材業、木製品製造業,21,163,131,-,161,129,2,63089,91749,211961,186630,x,x,-,3964,110796,110796,-,-,-,-
3,1211,一般製材業,18,146,121,-,145,120,1,57534,86194,194645,172635,18046,-,-,3964,99956,99956,-,-,-,-
3,1212,単板（ベニヤ）製造業,1,5,3,-,5,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1213,木材チップ製造業,1,8,6,-,8,6,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1219,その他の特殊製材業,1,4,1,-,3,-,1,x,x,x,x,x,x,-,-,x,x,-,-,-,-
2,1220,造作材・合板・建築用組立材料製造業,13,198,165,3,201,167,-,98566,367888,621913,574137,x,-,-,x,207928,241935,x,x,x,x
3,1221,造作材製造業（建具を除く）,7,100,82,3,103,84,-,53590,136495,209457,187561,15941,-,-,5955,67023,67343,11428,-,-,320
3,1222,合板製造業,2,22,20,-,22,20,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1223,集成材製造業,1,7,5,-,7,5,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1225,パーティクルボード製造業,1,54,46,-,54,46,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1227,銘木製造業,2,15,12,-,15,12,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1230,木製容器製造業（竹、とうを含む）,9,93,58,-,93,58,-,30893,101139,156879,150825,1454,-,-,4600,51374,51374,-,-,-,-
3,1232,木箱製造業,9,93,58,-,93,58,-,30893,101139,156879,150825,1454,-,-,4600,51374,51374,-,-,-,-
2,1290,その他の木製品製造業(竹、とうを含む),12,101,75,-,100,74,1,38279,28221,85826,74865,x,-,-,x,53172,53172,-,-,-,-
3,1299,他に分類されない木製品製造業(竹、とうを含む),12,101,75,-,100,74,1,38279,28221,85826,74865,x,-,-,x,53172,53172,-,-,-,-
1,1300,家具・装備品製造業,202,3236,2346,44,3262,2376,18,1627803,7872262,11801718,11047653,208268,50479,258,495060,3929360,4196162,1591783,133316,66458,236371
2,1310,家具製造業,110,2244,1652,44,2274,1685,14,1211260,6923761,9931275,9330191,136101,29680,258,435045,3077448,3343611,1316466,129495,65647,230069
3,1311,木製家具製造業（漆塗りを除く）,85,818,606,1,806,599,13,335071,635224,1401956,1025581,133234,2707,-,240434,688604,707814,401756,4687,46014,30456
3,1312,金属製家具製造業,24,1353,989,43,1395,1029,1,x,x,x,x,2867,26973,258,194611,x,x,x,x,x,x
3,1313,マットレス・組スプリング製造業,1,73,57,-,73,57,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,1320,宗教用具製造業,9,104,74,-,103,73,1,42143,48473,127508,66626,3100,18436,-,39346,75509,74647,71237,-,-,1062
3,1321,宗教用具製造業,9,104,74,-,103,73,1,42143,48473,127508,66626,3100,18436,-,39346,75509,74647,71237,-,-,1062
2,1330,建具製造業,27,187,140,-,187,140,-,76459,194048,337553,303421,32352,530,-,1250,132266,132266,-,-,-,-
3,1331,建具製造業,27,187,140,-,187,140,-,76459,194048,337553,303421,32352,530,-,1250,132266,132266,-,-,-,-
2,1390,その他の家具・装備品製造業,56,701,480,-,698,478,3,297941,705980,1405382,1347415,36715,1833,-,19419,644137,645638,204080,3821,811,5240
3,1391,事務所用・店舗用装備品製造業,36,505,352,-,502,350,3,228080,565664,1130167,1113646,11411,3,-,5107,519190,520691,204080,3821,811,5240
3,1392,窓用・扉用日よけ、日本びょうぶ等製造業,5,51,22,-,51,22,-,15976,38026,69388,69388,-,-,-,-,28906,28906,-,-,-,-
3,1393,鏡縁・額縁製造業,10,80,51,-,80,51,-,24692,38257,87472,61395,10896,1830,-,13351,45974,45974,-,-,-,-
3,1399,他に分類されない家具・装備品製造業,5,65,55,-,65,55,-,29193,64033,118355,102986,14408,-,-,961,50067,50067,-,-,-,-
1,1400,パルプ・紙・紙加工品製造業,371,5635,3684,30,5644,3698,21,2204094,8259236,13743655,10131440,1266933,-,6765,2338517,4868260,5088867,x,234379,36107,x
2,1410,パルプ製造業,1,24,10,-,24,10,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1411,パルプ製造業,1,24,10,-,24,10,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1420,紙製造業,5,136,108,17,153,123,-,79432,631299,1199357,1140890,42600,-,-,15867,463625,531397,551451,48016,403,61177
3,1422,板紙製造業,5,136,108,17,153,123,-,79432,631299,1199357,1140890,42600,-,-,15867,463625,531397,551451,48016,403,61177
2,1430,加工紙製造業,7,320,256,-,320,256,-,142963,626504,1058161,1017622,x,-,-,x,394452,399380,84746,15629,322,15723
3,1431,塗工紙製造業（印刷用紙を除く）,4,279,239,-,279,239,-,130187,559654,962176,962176,-,-,-,-,367599,372527,84746,15629,322,15723
3,1432,段ボール製造業,2,37,15,-,37,15,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1433,壁紙・ふすま紙製造業,1,4,2,-,4,2,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1440,紙製品製造業,100,1576,990,-,1571,988,5,624113,1836949,3110534,2308676,372499,-,581,428778,1136033,1174173,825658,71083,21912,44291
3,1441,事務用・学用紙製品製造業,51,1025,680,-,1024,679,1,423072,1476193,2320655,1633059,265202,-,284,422110,748609,778088,701985,63760,17532,36019
3,1442,日用紙製品製造業,7,79,25,-,79,25,-,22344,22610,67809,36401,31379,-,-,29,41657,41657,-,-,-,-
3,1449,その他の紙製品製造業,42,472,285,-,468,284,4,178697,338146,722070,639216,75918,-,297,6639,345767,354428,123673,7323,4380,8272
2,1450,紙製容器製造業,205,2897,1883,4,2890,1878,11,1089500,4523758,7162153,4913374,509290,-,601,1738888,2346519,2442416,x,89261,11395,x
3,1451,重包装紙袋製造業,1,42,16,-,42,16,-,x,x,x,x,-,-,x,x,x,x,x,x,-,x
3,1452,角底紙袋製造業,8,104,70,-,104,70,-,x,x,x,x,30795,-,x,x,x,x,-,x,-,-
3,1453,段ボール箱製造業,73,1162,846,3,1163,847,2,486506,2747007,3984863,2718100,112757,-,337,1153669,1093784,1144757,456359,40567,1079,50478
3,1454,紙器製造業,123,1589,951,1,1581,945,9,563955,1627396,2937970,2011884,365738,-,201,560147,1171052,1214387,683292,47078,10316,43272
2,1490,その他のパルプ・紙・紙加工品製造業,53,682,437,9,686,443,5,x,x,x,x,x,-,5583,94442,x,x,263681,10390,2075,14148
3,1499,その他のパルプ・紙・紙加工品製造業,53,682,437,9,686,443,5,x,x,x,x,x,-,5583,94442,x,x,263681,10390,2075,14148
1,1500,印刷・同関連業,1698,41599,29472,788,42359,30058,28,19565391,33733623,74249300,58284539,14458936,1436,34002,1470387,35903949,37529653,24910659,1952741,931652,1594276
2,1510,印刷業,1188,28886,20899,687,29558,21437,15,13677054,28635321,59479900,50831792,7311542,1436,20545,1314585,27273831,28558083,20937623,1714897,849143,1265401
3,1511,オフセット印刷業（紙に対するもの）,932,23803,17716,686,24485,18262,4,11286922,25233262,51808935,44517625,6375497,174,20342,895297,23680438,24599554,15613589,1304247,835826,938719
3,1512,オフセット印刷以外の印刷業（紙に対するもの）,93,2570,1837,-,2569,1836,1,1456653,1609054,4032637,3605320,207494,-,123,219700,1964539,2250329,4253131,285230,8943,272236
3,1513,紙以外の印刷業,163,2513,1346,1,2504,1339,10,933479,1793005,3638328,2708847,728551,1262,80,199588,1628854,1708200,1070903,125420,4374,54446
2,1520,製版業,137,5942,4516,100,6042,4573,-,3307734,2950740,8083188,7370493,600820,-,2547,109328,4607507,4774150,1197170,92888,49741,160606
3,1521,製版業,137,5942,4516,100,6042,4573,-,3307734,2950740,8083188,7370493,600820,-,2547,109328,4607507,4774150,1197170,92888,49741,160606
2,1530,製本業、印刷物加工業,346,4290,3015,-,4279,3006,11,1613627,1536680,4472746,79220,4355224,-,10629,27673,2593682,2716759,1298048,98879,32447,98197
3,1531,製本業,197,2857,2033,-,2850,2027,7,1090729,1003090,2958720,24149,2920069,-,8246,6256,1690766,1812009,1150156,89002,30514,95059
3,1532,印刷物加工業,149,1433,982,-,1429,979,4,522898,533590,1514026,55071,1435155,-,2383,21417,902916,904750,147892,9877,1933,3138
2,1590,印刷関連サービス業,27,2481,1042,1,2480,1042,2,966976,610882,2213466,3034,2191350,-,281,18801,1428929,1480661,1477818,46077,321,70072
3,1591,印刷関連サービス業,27,2481,1042,1,2480,1042,2,966976,610882,2213466,3034,2191350,-,281,18801,1428929,1480661,1477818,46077,321,70072
1,1600,化学工業,199,10713,6477,166,10877,6626,2,6131614,18497695,38297039,35222726,471351,34,-,2602928,17528856,18665566,x,1716979,117927,x
2,1610,化学肥料製造業,2,28,14,-,28,14,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1612,複合肥料製造業,1,4,3,-,4,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,1619,その他の化学肥料製造業,1,24,11,-,24,11,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1620,無機化学工業製品製造業,25,525,415,2,527,417,-,236139,1434373,1949420,1820930,11843,-,-,116647,450454,489718,269398,120732,4170,31708
3,1621,ソーダ工業,1,63,45,-,63,45,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1622,無機顔料製造業,2,34,29,-,34,29,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1623,圧縮ガス・液化ガス製造業,5,73,70,-,73,70,-,33520,77473,127835,106812,-,-,-,21023,46638,46714,-,-,-,-
3,1624,塩製造業,5,52,21,-,52,21,-,11632,31798,42517,31861,-,-,-,10656,10013,10013,-,-,-,-
3,1629,その他の無機化学工業製品製造業,12,303,250,2,305,252,-,150491,1115515,1528443,1437288,9774,-,-,81381,360227,393907,220222,112604,1031,25022
2,1630,有機化学工業製品製造業,10,330,252,-,329,251,1,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1634,環式中間物・合成染料・有機顔料製造業,5,131,110,-,131,110,-,65643,178715,535750,518202,-,-,-,17548,313598,332851,187266,19687,157,23191
3,1635,プラスチック製造業,3,70,49,-,69,48,1,31486,38542,97250,78698,x,-,-,x,52888,54081,117380,x,x,471
