産業分類階層,産業コード,産業小分類,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
2,102,酒類製造業,3,5312173,40218,46468,48946,46083,45336,52189,178724,966733,x,133245,70255,49788,13202,10012,5970,132544,142540,127072,15468,x
1,110,繊維工業,16,926707,42738,47587,38580,32465,27433,25704,252143,226771,11609,55061,45575,6952,2534,-,208,19618,x,x,x,x
2,116,外衣・シャツ製造業（和式を除く）,4,389883,10806,6763,7892,3379,13926,12573,55712,33884,-,4500,-,4500,-,-,-,3198,-,-,-,4500
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,3,88625,-,-,-,-,889,1047,6689,46468,-,36447,35552,418,477,-,-,1967,-,-,-,36447
2,119,その他の繊維製品製造業,9,448199,31932,40824,30688,29086,12618,12084,189742,146419,11609,14114,10023,2034,2057,-,208,14453,x,x,x,x
1,120,木材・木製品製造業（家具を除く）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,x,-,-,-,x
2,122,造作材・合板・建築用組立材料製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,x,-,-,-,x
1,130,家具・装備品製造業,16,8963305,347012,233277,2803987,2887291,1367716,1850221,803818,787965,-,133316,14959,26891,91466,-,66458,236371,9007,6241,2766,136082
2,131,家具製造業,10,8339580,320433,204677,2789221,2868883,1303333,1785651,629701,686765,-,129495,13241,25536,90718,-,65647,230069,9007,6241,2766,132261
2,132,宗教用具製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,139,その他の家具・装備品製造業,5,x,x,x,x,x,x,x,x,x,-,3821,1718,1355,748,-,811,x,-,-,-,3821
1,140,パルプ・紙・紙加工品製造業,36,6630945,292272,300593,59299,60862,255924,169140,985732,1889213,-,234379,87543,134090,12746,8309,27798,230491,117629,83972,33657,268036
2,142,紙製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,143,加工紙製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,144,紙製品製造業,13,1698318,25086,26994,10824,15067,93101,14969,317164,508494,-,71083,25413,40212,5458,-,21912,44291,423,-,423,71506
2,145,紙製容器製造業,14,2556549,88852,93105,29037,24039,42625,40258,416240,733169,-,89261,31791,53838,3632,7008,4387,95152,63270,59889,3381,92642
2,149,その他のパルプ・紙・紙加工品製造業,5,349875,3352,2843,437,1224,39977,30335,167977,95704,-,10390,7411,1860,1119,1301,774,14148,35,35,-,10390
1,150,印刷・同関連業,270,49206561,480786,494195,1194194,1149357,356973,402616,14041302,10869357,193203,1759538,522216,969578,267744,226168,705484,1594276,482957,568957,-86000,1866741
2,151,印刷業,211,39198551,473821,487686,931202,898486,303323,330937,11935487,9002136,179297,1535600,494014,851279,190307,214251,634892,1265401,394123,563263,-169140,1545757
2,152,製版業,35,6603917,5707,5085,126513,121098,40078,39953,388854,808316,13906,78982,15252,34899,28831,11917,37824,160606,80658,2366,78292,171180
2,153,製本業、印刷物加工業,21,1447990,1258,1424,84250,59204,13285,31333,675048,623000,-,98879,11475,57736,29668,-,32447,98197,8176,3328,4848,103727
2,159,印刷関連サービス業,3,1956103,-,-,52229,70569,287,393,1041913,435905,-,46077,1475,25664,18938,-,321,70072,-,-,-,46077
1,160,化学工業,63,32403159,1342992,1590283,1452993,1927590,1571724,2040872,4725581,12411715,78685,1638294,503592,801961,332741,7164,110763,1858598,1028690,1052360,-23670,1693309
2,162,無機化学工業製品製造業,6,914510,51922,46923,25350,22793,160174,136592,123173,146225,68117,52615,23485,18508,10622,-,4170,31708,24186,5403,18783,139515
2,163,有機化学工業製品製造業,4,598989,71947,62941,28592,30560,54630,59644,145697,282490,-,37781,3578,13616,20587,429,5322,32268,22245,20136,2109,39890
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,3001478,90801,97626,59856,57081,115183,119037,306479,690855,-,79143,18519,44371,16253,853,15555,101971,50987,50193,794,79937
2,165,医薬品製造業,17,8259940,474501,546673,1125477,1572147,594272,827446,850943,8254730,2755,432304,127128,196777,108399,40,74167,1142258,210759,233342,-22583,412476
2,166,化粧品・歯磨・その他の化粧用調整品製造業,15,13766386,186954,259565,101781,96691,314011,415165,360831,1100714,7673,258431,32893,121371,104167,1360,7203,191924,565181,212498,352683,618787
2,169,その他の化学工業,11,5861856,466867,576555,111937,148318,333454,482988,2938458,1936701,140,778020,297989,407318,72713,4482,4346,358469,155332,530788,-375456,402704
1,170,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,-,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,-,x,x
1,180,プラスチック製品製造業（別掲を除く）,44,3401678,144289,107993,84527,87529,82418,72512,838567,811280,21289,157131,59041,56673,41417,49109,33013,133445,33293,34146,-853,177567
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,7,552337,65519,19988,14400,13575,25118,22422,117898,99873,-,11400,1294,7123,2983,48964,30,20676,9079,7067,2012,13412
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,183,工業用プラスチック製品製造業,14,1001277,40022,49676,19153,21767,27565,23332,197223,209581,6759,71218,39295,20015,11908,144,12797,44207,11830,14545,-2715,75262
2,184,発泡・強化プラスチック製品製造業,3,168339,5265,4718,23960,25964,3322,2667,197,92922,-,7872,1942,100,5830,-,10557,13231,41,-,41,7913
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
2,189,その他のプラスチック製品製造業,16,1286628,25822,27046,24480,24259,14731,13554,394340,275259,14530,63831,15772,29194,18865,1,9629,47103,12343,12534,-191,78170
1,190,ゴム製品製造業,11,1220467,102652,113805,50924,48679,28160,30577,441840,589082,1737,112720,52792,43285,16643,x,x,116797,x,x,x,x
2,191,タイヤ・チューブ製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,7,725031,24827,23949,10853,11784,22754,25148,328493,158708,1737,24987,5593,15281,4113,-,167,23742,295,-,295,27019
2,199,その他のゴム製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,-,-,-,x
1,200,なめし革・同製品・毛皮製造業,18,2244341,261132,292492,124645,166581,154276,138545,235956,313246,16725,228497,146771,77982,3744,-,473,30835,57415,32683,24732,269954
2,204,革製履物製造業,7,782183,76493,79448,34121,31229,44754,46936,93811,62349,-,25584,24731,606,247,-,37,7052,23833,-,23833,49417
2,206,かばん製造業,5,1010285,158093,182224,79554,121391,97055,77231,49240,131332,966,194444,113902,77137,3405,-,72,16709,33582,32683,899,196309
2,207,袋物製造業,4,x,x,x,x,x,x,x,x,x,15759,x,8138,x,92,-,x,x,-,-,-,x
2,209,その他のなめし革製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,-,x,-,-,x,x,-,-,-,x
1,210,窯業・土石製品製造業,18,4444425,324042,338549,126641,78365,94856,79891,1589811,1902354,5969,121756,27380,70662,23714,4490,54907,200544,71222,54123,17099,144824
2,211,ガラス・同製品製造業,10,2333081,248661,245099,126641,78365,66384,52418,565406,1481493,-,79334,18625,51752,8957,3847,47707,126733,36450,38804,-2354,76980
2,212,セメント・同製品製造業,5,1425738,54470,64271,-,-,12408,12895,590897,237998,5969,20365,3800,6108,10457,-,3488,51790,-,-,-,26334
2,219,その他の窯業・土石製品製造業,3,685606,20911,29179,-,-,16064,14578,433508,182863,-,22057,4955,12802,4300,643,3712,22021,34772,15319,19453,41510
1,220,鉄鋼業,15,12142066,453748,464018,667582,625302,308294,301064,1827629,2284813,-,826139,343488,414031,68620,-,57477,372038,622932,733897,-110965,715174
2,222,製鋼・製鋼圧延業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,5,8049277,341898,363728,617291,570962,215334,223248,1335177,1578907,-,705856,330754,347820,27282,-,47374,228880,622932,733897,-110965,594891
2,225,鉄素形材製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,229,その他の鉄鋼業,6,1823056,49861,38844,12009,14147,55901,50381,170829,188870,-,17421,1918,13021,2482,-,5312,15202,-,-,-,17421
1,230,非鉄金属製造業,16,9964963,358500,436605,238094,431998,117585,103414,851855,537413,64514,98029,25552,54788,17689,11218,4850,84693,51947,44612,7335,169878
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,1577934,24732,19967,163057,211955,24746,12853,442507,249023,2900,57380,20353,32514,4513,-,2958,30423,27666,28672,-1006,59274
2,234,電線・ケーブル製造業,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x
2,235,非鉄金属素形材製造業,6,760993,46175,42931,27369,57103,67838,57150,192540,193400,-,29761,1341,20780,7640,-,133,40978,16023,15940,83,29844
1,240,金属製品製造業,83,8715709,338381,353840,298936,316365,326034,309579,2085921,1945936,53918,381500,87199,248582,45719,69139,9488,424225,105395,100267,5128,440546
2,241,ブリキ缶・その他のめっき板等製品製造業,1,x,-,-,x,x,x,x,-,x,-,x,x,-,x,-,-,x,-,-,-,x
2,242,洋食器・刃物・手道具・金物類製造業,10,733604,28145,34130,48257,46833,21208,21226,202410,98112,-,21279,9965,7805,3509,-,786,14458,1427,-,1427,22706
2,243,暖房・調理等装置、配管工事用附属品製造業,5,788168,37003,44914,31857,37141,51304,46629,69259,107643,-,17980,1749,11749,4482,-,430,15030,-,-,-,17980
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),5,x,30474,27449,x,x,x,x,147545,x,25474,x,x,3622,x,-,60,x,-,-,-,x
2,245,金属素形材製品製造業,8,1420520,89960,82756,73331,73926,13693,14023,290632,153241,12628,53814,10696,36270,6848,-,131,50664,-,104,-104,66338
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,39,3210214,64895,57450,39167,37889,66883,68724,1106918,1047760,15816,229823,51871,159868,18084,69139,6253,284212,93881,92952,929,246568
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,9,949910,65111,82305,28590,29641,38713,33686,172168,284520,-,33000,7234,21854,3912,-,1785,18678,630,630,-,33000
2,249,その他の金属製品製造業,6,932866,22793,24836,51423,65752,83808,80479,96989,211097,-,16183,2061,7414,6708,-,43,31650,9457,6581,2876,19059
1,250,はん用機械器具製造業,46,11932348,272944,253772,1337489,1281699,1310216,1244464,1502310,2171622,54212,460982,73200,331269,56513,-,17732,306285,111158,179228,-68070,447124
2,251,ボイラ・原動機製造業,1,x,x,x,x,x,x,x,-,x,-,x,-,-,x,-,-,x,-,-,-,x
2,252,ポンプ・圧縮機器製造業,13,x,x,x,x,x,x,x,214719,x,15150,x,20454,91267,x,-,12812,x,452,452,-,x
2,253,一般産業用機械・装置製造業,15,4753699,82649,83994,699459,646762,641979,669222,834590,591654,-,80369,9493,53960,16916,-,812,90351,5439,5439,-,80369
2,259,その他のはん用機械・同部分品製造業,17,3476596,66861,65833,333100,351167,194566,191628,453001,796287,39062,257789,43253,186042,28494,-,4108,134357,105267,173337,-68070,228781
1,260,生産用機械器具製造業,103,20482605,686520,652068,3312181,3572096,1520695,1624499,4358293,5546196,229965,773828,307959,308173,157696,16080,124428,709375,240665,240507,158,1003951
2,261,農業用機械製造業（農業用器具を除く）,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,-,x,x,x,x,x
2,262,建設機械・鉱山機械製造業,10,1882930,109657,118356,135071,164340,79700,68696,538379,502672,41112,97759,24209,66728,6822,137,19017,67549,36092,44077,-7985,130886
2,263,繊維機械製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,264,生活関連産業用機械製造業,10,1445702,64509,57545,130583,121742,48065,42192,242233,431039,13334,20422,1204,14997,4221,-,269,36962,966,-,966,34722
2,265,基礎素材産業用機械製造業,7,x,x,x,x,x,x,x,x,x,-,x,459,x,x,-,3693,x,x,x,x,x
2,266,金属加工機械製造業,22,3077263,135686,127314,454083,597979,151247,127121,1002651,1388031,-,118530,6883,61366,50281,15313,10279,224441,62190,11716,50474,169004
2,267,半導体・フラットパネルディスプレイ製造装置製造業,23,8749711,206646,198586,2115460,2238130,600901,857099,1166157,1687434,43902,243997,86536,100443,57018,-,82125,205896,90063,69091,20972,308871
2,269,その他の生産用機械・同部分品製造業,29,4043243,126601,108630,403170,375848,549020,431046,952787,1215402,131617,279111,188668,62301,28142,630,9045,128591,46801,111207,-64406,346322
1,270,業務用機械器具製造業,91,21399039,1600989,1813475,1786045,1890499,1699030,1877902,2814823,2700630,53886,472889,115513,185525,171851,3364,52057,366217,158346,42025,116321,643096
2,271,事務用機械器具製造業,7,1598385,236013,319718,12796,13372,333659,406980,96905,115931,4743,43620,7487,2814,33319,-,778,10184,-,-,-,48363
2,272,サービス用・娯楽用機械器具製造業,6,1115923,38190,77435,27755,31110,136184,143132,375302,322432,-,4287,431,503,3353,-,305,14772,-,-,-,4287
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,47,8518081,449102,488672,1277523,1371497,774983,785374,1598642,1231484,15527,177093,46425,44244,86424,3364,27376,157017,157181,38339,118842,311462
2,274,医療用機械器具・医療用品製造業,24,8837603,820560,892118,331858,335709,338190,422757,685960,953895,33616,219920,59752,127599,32569,-,21438,146661,256,1708,-1452,252084
2,275,光学機械器具・レンズ製造業,7,1329047,57124,35532,136113,138811,116014,119659,58014,76888,-,27969,1418,10365,16186,-,2160,37583,909,1978,-1069,26900
1,280,電子部品・デバイス・電子回路製造業,52,28716215,935513,694851,1074268,1145806,867530,903779,1475902,7483165,25277,2241419,154765,1294163,792491,254,72592,2347524,2139369,1913560,225809,2492505
2,281,電子デバイス製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,74326,x,-,x,x,72586,81382,-8796,x
2,282,電子部品製造業,10,18554492,385252,332181,362872,385804,185586,212529,230381,2911867,-,1600429,43089,852612,704728,-,41547,1377216,1679228,1506511,172717,1773146
2,284,電子回路製造業,20,3464923,107223,94895,199002,260352,231671,253600,279502,337573,-,82675,5615,68786,8274,230,6545,43416,-,2642,-2642,80033
2,285,ユニット部品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,-,x,-,x,x,-,-,-,x
2,289,その他の電子部品・デバイス・電子回路製造業,17,5601446,381929,193715,413625,400969,371854,357086,748317,3907617,25277,474064,101420,298439,74205,24,20125,810127,387555,323025,64530,563871
1,290,電気機械器具製造業,116,63114555,3086069,3875121,12729292,13201900,3918397,4464970,3243916,8572805,76902,1690407,361916,385976,942515,1787,600192,1176249,1136614,939343,197271,1964580
2,291,発電用・送電用・配電用電気機械器具製造業,51,21838026,1923382,1879873,5380662,5326158,1491027,1703838,1016869,3991401,-,607745,152930,208322,246493,-,102454,487546,597906,557224,40682,648427
2,292,産業用電気機械器具製造業,15,5664892,15304,13570,1428805,1263868,1061200,1303215,223844,242695,30,45726,7416,27447,10863,758,6805,62438,49314,34860,14454,60210
2,293,民生用電気機械器具製造業,3,x,x,x,x,x,x,x,x,34673,-,x,x,3344,x,-,-,x,-,-,-,x
2,294,電球・電気照明器具製造業,8,2043486,61320,84833,40923,55170,124384,140939,156412,262895,43439,32910,3496,3571,25843,-,113635,26483,77488,27477,50011,126360
2,296,電子応用装置製造業,18,28172361,828624,1606694,5377804,6102749,865043,920190,1197086,3244948,33394,872806,147213,99150,626443,968,371142,477605,334164,257484,76680,982880
2,297,電気計測器製造業,20,4916062,213554,248315,500267,451518,359314,376685,541768,796193,39,118400,43370,44142,30888,61,6156,114406,77742,62298,15444,133883
2,299,その他の電気機械器具製造業,1,x,x,x,x,x,x,x,x,-,-,x,x,-,x,-,-,x,-,-,-,x
1,300,情報通信機械器具製造業,33,38532514,792900,644446,8504304,7728601,1083371,1176684,629276,4589792,x,1591090,317682,470372,803036,2200,18522,992719,984321,825091,159230,x
2,301,通信機械器具・同関連機械器具製造業,17,35967761,672480,509295,8362074,7584115,825815,879582,264148,4034436,-,1522714,293061,444338,785315,2200,17533,925437,984321,825091,159230,1681944
2,302,映像・音響機械器具製造業,9,1620799,96292,111813,60294,45260,139147,164946,317402,287515,x,39291,15387,9350,14554,-,453,38955,-,-,-,x
2,303,電子計算機・同附属装置製造業,7,943954,24128,23338,81936,99226,118409,132156,47726,267841,-,29085,9234,16684,3167,-,536,28327,-,-,-,29085
1,310,輸送用機械器具製造業,64,118582595,4878055,5832956,16603209,17870853,3957187,3893470,3308227,12729087,774997,2485654,817636,920749,747269,33446,170312,2280974,3165078,1950814,1214264,4474915
2,311,自動車・同附属品製造業,43,69490090,174805,194716,914883,985450,561355,571746,1211531,6580570,54397,1717861,554661,616112,547088,31701,150059,1386368,1640355,1530984,109371,1881629
2,312,鉄道車両・同部分品製造業,6,x,x,x,x,x,x,x,x,x,-,x,1338,x,x,-,x,x,x,32810,x,x
2,313,船舶製造・修理業、舶用機関製造業,1,x,-,-,x,x,x,x,x,x,-,x,-,x,x,-,x,x,x,-,x,x
2,314,航空機・同附属品製造業,13,47858830,4699202,5635637,15579226,16853551,3336432,3267036,1905809,5884910,720600,722426,261637,266657,194132,1745,18308,868155,1458197,387020,1071177,2514203
2,315,産業用運搬車両・同部分品・附属品製造業,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
1,320,その他の製造業,58,12636880,627755,717739,489699,679699,546211,663431,1531249,2015587,59709,335120,97814,140834,96472,-,24121,267876,62363,63699,-1336,393493
2,321,貴金属・宝石製品製造業,4,928316,89297,87559,127099,126483,143476,174138,40293,50169,-,8085,278,5648,2159,-,17,8349,-,-,-,8085
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,6,357922,24419,25237,17434,18533,64566,64881,131635,58620,-,2974,60,470,2444,-,235,6716,-,-,-,2974
2,323,時計・同部分品製造業,3,x,x,x,x,x,x,x,x,x,264,x,x,x,2916,-,x,x,13393,20107,-6714,x
2,324,楽器製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,-,-,x,x,-,-,-,x
2,325,がん具・運動用具製造業,6,3343381,348076,425966,155757,222365,96908,143428,97960,663289,-,120655,4658,56184,59813,-,4436,103077,44664,36961,7703,128358
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,5,501140,22398,19663,3014,2397,9766,9406,193717,164475,2650,7295,2511,4409,375,-,465,10189,-,-,-,9945
2,328,畳等生活雑貨製品製造業,5,492531,49576,52485,20018,17039,33411,43494,32309,50828,-,9251,1884,4343,3024,-,786,8377,1084,1084,-,9251
2,329,他に分類されない製造業,28,6541620,73954,91039,116016,226904,165055,194084,962978,909841,56795,121485,49632,46112,25741,-,10349,114603,3222,5547,-2325,175955
,,,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,,,
第2-1-b表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,,,
