産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等／総額(万円),原材料使用額等／うち原材料使用額(万円),原材料使用額等／うち燃料使用額(万円),原材料使用額等／うち電力使用額(万円),原材料使用額等／うち委託生産費(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(万円),粗付加価値額(万円)
2,211,ガラス・同製品製造業,10,1057,846,1064,850,-,691713,1566843,582144,130484,112147,163474,3050684,2268633,116286,-,-,665765,1274247,1452818
2,212,セメント・同製品製造業,5,236,201,237,202,-,97183,880533,738811,20992,10066,2903,1456117,1415937,-,-,-,40180,490431,532420
2,219,その他の窯業・土石製品製造業,3,218,167,218,167,-,118767,448926,192617,107312,41415,-,771703,668504,8834,-,99,94266,287124,300877
1,220,鉄鋼業,15,1724,1572,1730,1577,-,1051512,9196646,7875168,220045,372663,440367,12245312,11735249,438827,-,-,71236,2555979,2960027
2,222,製鋼・製鋼圧延業,1,150,136,150,136,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,5,1029,940,1035,945,-,672359,6209018,5483399,173211,141497,264548,8081253,8005560,x,-,-,x,1612767,1866146
2,225,鉄素形材製造業,3,119,106,119,106,-,x,x,x,x,x,79988,x,x,x,-,-,x,x,x
2,229,その他の鉄鋼業,6,426,390,426,390,-,237906,1415771,1214425,6021,17241,95831,1895694,1466263,365672,-,-,63759,420049,444130
1,230,非鉄金属製造業,16,1348,1000,1349,1001,-,650256,8397593,8004428,31890,64437,170252,9854427,9557511,x,x,x,160355,1563168,1375852
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,2,461,384,461,384,-,x,x,x,x,x,x,x,x,-,-,x,-,x,x
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,258,198,259,199,-,147247,1207987,1103783,8092,30450,9192,1620810,1435424,98377,-,-,87009,402835,389125
2,234,電線・ケーブル製造業,4,260,91,260,91,-,x,x,x,x,x,x,x,x,x,-,-,16500,x,x
2,235,非鉄金属素形材製造業,6,369,327,369,327,-,165182,479331,274188,14863,22154,114795,792467,x,17854,x,1118,56846,276778,291266
1,240,金属製品製造業,83,4773,3538,4806,3570,-,2277019,4182177,2277403,63696,158143,1469583,8955833,5900353,2782468,-,3940,269072,4051590,4442927
2,241,ブリキ缶・その他のめっき板等製品製造業,1,34,31,34,31,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,242,洋食器・刃物・手道具・金物類製造業,10,508,350,508,350,-,210762,393175,236880,2904,11314,132727,739276,727869,1174,-,805,9428,311682,321579
2,243,暖房・調理等装置、配管工事用附属品製造業,5,264,215,264,215,-,129801,440756,239463,1667,5447,151282,803829,774973,-,-,2400,26456,335079,336914
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),5,248,182,254,188,-,x,x,x,x,x,x,x,x,-,-,-,4420,x,x
2,245,金属素形材製品製造業,8,517,360,525,368,-,239618,939533,337408,2292,12992,543501,1471758,1427107,22,-,731,43898,437881,495154
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,39,2385,1749,2398,1761,-,1181444,1023363,607417,45929,102923,234154,3267956,533183,2685754,-,-,49019,1796794,2089729
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,9,442,353,444,355,-,180222,630120,370839,3472,12793,184119,1066520,836147,95518,-,4,134851,410184,410617
2,249,その他の金属製品製造業,6,375,298,379,302,-,206803,435409,257365,6702,9832,159710,917494,916494,-,-,-,1000,431718,446996
1,250,はん用機械器具製造業,46,4437,3665,4450,3677,-,2454003,7480361,5064856,24774,115964,1945906,13190925,11761287,246023,781367,511,401737,5057896,5439143
2,251,ボイラ・原動機製造業,1,31,27,31,27,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,252,ポンプ・圧縮機器製造業,13,1480,1126,1481,1127,-,x,x,x,x,x,x,x,x,x,66116,-,x,x,x
2,253,一般産業用機械・装置製造業,15,1354,1149,1358,1152,-,773993,2723074,2132445,2439,28407,532317,4910466,4692899,112152,75924,511,28980,1990432,2132135
2,259,その他のはん用機械・同部分品製造業,17,1572,1363,1580,1371,-,923654,2575504,1232566,16478,65292,1191267,4216478,3420254,39303,639327,-,117594,1443720,1561038
1,260,生産用機械器具製造業,103,7708,6261,7850,6365,-,4118660,12505285,7978906,53360,167902,2591357,22843808,19890896,366246,416645,42,2169979,9633810,10117722
2,261,農業用機械製造業（農業用器具を除く）,1,65,55,65,55,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,262,建設機械・鉱山機械製造業,10,731,611,732,612,-,343637,951541,496476,2538,10914,410264,2102505,1779716,65246,200597,-,56946,1039524,1069105
2,263,繊維機械製造業,1,35,27,35,27,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,264,生活関連産業用機械製造業,10,614,509,616,511,-,315773,949036,518210,1276,6369,311261,1660607,1461507,-,35034,-,164066,610024,662791
2,265,基礎素材産業用機械製造業,7,424,348,532,419,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,266,金属加工機械製造業,22,1680,1330,1693,1342,-,898063,2059664,1069179,3558,47358,255918,3824658,2846417,95322,80681,42,802196,1590487,1679404
2,267,半導体・フラットパネルディスプレイ製造装置製造業,23,2291,1817,2305,1831,-,1233107,5096045,3963045,40079,58027,937551,8773160,8476436,158665,5273,-,132786,3732052,3823338
2,269,その他の生産用機械・同部分品製造業,29,1868,1564,1872,1568,-,1030136,2467645,1359572,4374,36186,538783,4923291,4041523,47013,95060,-,739695,2169170,2343054
1,270,業務用機械器具製造業,91,8495,6356,8691,6529,-,4804063,12778566,10078646,11950,90782,1283159,23302777,21019182,62917,396802,-,1823876,10110638,10159915
2,271,事務用機械器具製造業,7,683,549,698,562,-,317938,1099609,887382,800,6820,129821,1606893,1483578,30526,1248,-,91541,557835,483738
2,272,サービス用・娯楽用機械器具製造業,6,397,286,397,286,-,200055,631560,552123,2147,5503,51369,1140753,1072867,456,32006,-,35424,501527,473699
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,47,4297,3259,4347,3305,-,2401462,4645785,3444545,4006,48451,794903,9415159,8352835,31702,257362,-,773260,4495252,4518725
2,274,医療用機械器具・医療用品製造業,24,2600,1905,2730,2018,-,1606999,5645238,4597150,2166,18222,173836,9768117,8761961,233,106186,-,899737,4010092,4081344
2,275,光学機械器具・レンズ製造業,7,518,357,519,358,-,277609,756374,597446,2831,11786,133230,1371855,1347941,-,-,-,23914,545932,602409
1,280,電子部品・デバイス・電子回路製造業,52,7372,5389,7745,5718,-,4276331,17949037,15055590,45018,308930,1361893,29525722,28428374,x,x,x,640383,9156871,11673519
2,281,電子デバイス製造業,3,371,284,372,285,-,x,x,x,x,x,x,x,x,x,-,-,150,x,x
2,282,電子部品製造業,10,2412,1864,2653,2074,-,1498697,11220894,10741541,1084,51822,325674,18601563,18539144,45487,-,-,16932,6158097,7565452
2,284,電子回路製造業,20,1323,914,1351,940,-,631458,2481470,1624393,4005,69753,429042,3631414,3156919,258982,-,-,215513,1090285,1084679
2,285,ユニット部品製造業,2,110,75,110,75,-,x,x,x,x,x,x,x,x,-,x,x,-,x,x
2,289,その他の電子部品・デバイス・電子回路製造業,17,3156,2252,3259,2344,-,1919428,3591575,2320634,28368,153123,477686,6210104,5731680,70636,-,-,407788,1563799,2574796
1,290,電気機械器具製造業,116,18674,15095,19085,15482,-,11477158,39213964,24867533,87857,333592,13042277,69114885,61050707,802188,575234,109,6686647,28989352,28903941
2,291,発電用・送電用・配電用電気機械器具製造業,51,8169,6693,8262,6771,-,4325169,18772984,9814642,20638,185882,8619516,22264044,21464901,471138,161255,109,166641,2810724,3396283
2,292,産業用電気機械器具製造業,15,1440,1147,1450,1157,-,x,x,x,1856,x,x,x,x,226467,-,-,x,x,x
2,293,民生用電気機械器具製造業,3,292,151,292,151,-,107319,221040,157690,1967,8811,44753,448106,407250,32347,8509,-,-,202934,210412
2,294,電球・電気照明器具製造業,8,338,218,388,266,-,176099,1615203,636257,52351,8268,842046,2080063,2005726,-,-,-,74337,452225,440948
2,296,電子応用装置製造業,18,5981,4912,6207,5132,-,4575304,11622204,9020532,4671,79209,2432589,33143343,26664713,4633,189711,-,6284286,21764714,20739304
2,297,電気計測器製造業,20,2414,1965,2445,1995,-,1474583,2543641,1510626,6374,24664,742979,5272291,4862447,67603,215759,-,126482,2464396,2592790
2,299,その他の電気機械器具製造業,1,40,9,41,10,-,x,x,x,-,x,x,x,x,-,-,-,x,x,x
1,300,情報通信機械器具製造業,33,6982,5744,7186,5933,-,4997440,25470918,22290533,18335,164947,2326162,45712480,39262122,194549,36403,-,6219406,16997390,18914266
2,301,通信機械器具・同関連機械器具製造業,17,5432,4691,5614,4861,-,4311585,23975270,21029192,16604,154939,2140421,43079292,36763507,145398,-,-,6170387,15949505,17816086
2,302,映像・音響機械器具製造業,9,999,637,1020,655,-,436799,1008469,913822,398,5717,83679,1645422,1612163,8149,9112,-,15998,591343,629811
2,303,電子計算機・同附属装置製造業,7,551,416,552,417,-,249056,487179,347519,1333,4291,102062,987766,886452,41002,27291,-,33021,456542,468369
1,310,輸送用機械器具製造業,64,18240,15842,18737,16310,-,11864429,72761560,68917103,151194,402519,2207427,117642789,115447062,912988,30997,1970,1249772,41789858,41848287
2,311,自動車・同附属品製造業,43,13900,12206,14297,12578,-,9197439,57063150,54602357,130966,314029,1226105,69493295,68850765,548847,21755,624,71304,10329262,11625152
2,312,鉄道車両・同部分品製造業,6,502,456,502,456,-,x,x,x,x,x,x,x,x,64875,9242,1346,31476,x,x
2,313,船舶製造・修理業、舶用機関製造業,1,57,50,57,50,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,314,航空機・同附属品製造業,13,3721,3081,3821,3177,-,2374489,14974818,13918065,18784,82614,879727,46795062,45348804,299266,-,-,1146992,30977555,29634950
2,315,産業用運搬車両・同部分品・附属品製造業,1,60,49,60,49,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
1,320,その他の製造業,58,4871,3315,4933,3374,-,2486749,9257783,3423885,19761,79926,4055464,15130196,x,127599,x,166,2735417,5574142,5562034
2,321,貴金属・宝石製品製造業,4,353,188,353,188,-,181139,730629,576822,688,2468,80555,1019925,912986,17684,-,-,89255,273667,284370
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,6,239,145,240,145,-,101168,224663,102967,239,2399,76755,431061,339704,16301,-,-,75056,187272,192071
2,323,時計・同部分品製造業,3,311,256,315,260,-,x,x,x,1459,x,x,x,x,2613,x,-,19764,x,x
2,324,楽器製造業,1,99,74,100,75,-,x,x,x,-,x,x,x,x,-,x,-,-,x,x
2,325,がん具・運動用具製造業,6,1354,997,1404,1047,-,700702,3000498,678364,731,19470,1222333,5028681,3198394,489,5,-,1829793,1999966,1958545
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,5,250,142,250,142,-,112257,281084,203228,459,9212,36918,533505,504492,-,-,-,29013,221481,235022
2,328,畳等生活雑貨製品製造業,5,214,93,214,93,-,78090,367784,352543,410,1516,12526,493293,492601,-,-,-,692,109449,117896
2,329,他に分類されない製造業,28,2051,1420,2057,1424,-,1089657,4326785,1291422,15775,37270,2546847,7105657,6323135,90512,-,166,691844,2597382,2584012
,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,
第2-1-a表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,
