産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円)
1,110,繊維工業,349,3243,1310,3217,1287,43,965048,2373410,4391164,2704528,1208093,11222,-,467321,1871041,1871041
2,112,織物業,8,78,22,76,22,2,22335,54075,92353,88191,4162,-,-,-,35278,35278
2,113,ニット生地製造業,6,57,38,57,38,-,18227,42150,77948,52495,24515,-,-,938,32993,32993
2,114,染色整理業,33,340,204,335,200,5,99936,72825,254074,41409,199183,-,-,13482,167667,167667
2,115,綱・網・レース・繊維粗製品製造業,10,125,66,125,66,-,48731,64454,143029,110928,23274,49,-,8778,72419,72419
2,116,外衣・シャツ製造業（和式を除く）,137,1286,479,1285,472,18,377907,1434891,2326637,1414505,543314,144,-,368674,824600,824600
2,117,下着類製造業,3,25,5,22,4,3,4104,17097,24292,21681,885,-,-,1726,6632,6632
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,60,531,188,526,184,5,143952,263621,535983,373359,136966,10073,-,15585,251763,251763
2,119,その他の繊維製品製造業,92,801,308,791,301,10,249856,424297,936848,601960,275794,956,-,58138,479689,479689
1,120,木材・木製品製造業（家具を除く）,53,456,346,456,345,3,x,x,x,x,x,x,-,x,x,x
2,121,製材業、木製品製造業,21,163,131,161,129,2,63089,91749,211961,186630,x,x,-,3964,110796,110796
2,122,造作材・合板・建築用組立材料製造業,11,99,82,102,84,-,x,x,x,x,x,-,-,x,x,x
2,123,木製容器製造業（竹、とうを含む）,9,93,58,93,58,-,30893,101139,156879,150825,1454,-,-,4600,51374,51374
2,129,その他の木製品製造業(竹、とうを含む),12,101,75,100,74,1,38279,28221,85826,74865,x,-,-,x,53172,53172
1,130,家具・装備品製造業,186,1507,1088,1490,1077,18,601480,1109566,2365408,2054653,207532,7198,258,95767,1158107,1158107
2,131,家具製造業,100,796,590,783,582,14,315713,472463,1167489,954517,136101,4835,258,71778,640590,640590
2,132,宗教用具製造業,8,52,35,51,34,1,x,x,x,x,x,x,-,x,x,x
2,133,建具製造業,27,187,140,187,140,-,76459,194048,337553,303421,32352,530,-,1250,132266,132266
2,139,その他の家具・装備品製造業,51,472,323,469,321,3,x,x,x,x,x,x,-,x,x,x
1,140,パルプ・紙・紙加工品製造業,335,3395,2103,3374,2089,21,1133608,2529257,5013388,3795177,982135,-,1005,235071,2290088,2290088
2,141,パルプ製造業,1,24,10,24,10,-,x,x,x,x,-,-,-,x,x,x
2,142,紙製造業,4,53,34,53,34,-,x,x,x,x,42600,-,-,x,x,x
2,143,加工紙製造業,4,53,26,53,26,-,21050,86867,128645,x,-,-,-,x,38505,38505
2,144,紙製品製造業,87,797,484,792,482,5,267565,465883,1015300,652200,336808,-,581,25711,506550,506550
2,145,紙製容器製造業,191,1996,1267,1985,1258,11,649904,1549038,2962730,2494719,370651,-,360,97000,1303330,1303330
2,149,その他のパルプ・紙・紙加工品製造業,48,472,282,467,279,5,165314,400027,777968,494010,232076,-,64,51818,348335,348335
1,150,印刷・同関連業,1428,14793,10338,14948,10453,28,5905181,11769287,23905026,17565469,5940017,174,5957,393409,11190037,11190037
2,151,印刷業,977,10279,7114,10444,7237,15,4184950,10236092,19230533,16449458,2476474,174,2660,301767,8293489,8293489
2,152,製版業,102,1173,874,1175,875,-,509036,446678,1406694,1052693,308666,-,28,45307,885447,885447
2,153,製本業、印刷物加工業,325,3086,2183,3075,2174,11,1102598,990913,2992096,60284,2901290,-,2988,27534,1845111,1845111
2,159,印刷関連サービス業,24,255,167,254,167,2,108597,95604,275703,3034,253587,-,281,18801,165990,165990
1,160,化学工業,136,1790,1093,1796,1098,2,729791,2557409,4537258,3865306,147500,34,-,524418,1828201,1828201
2,161,化学肥料製造業,2,28,14,28,14,-,x,x,x,x,x,-,-,-,x,x
2,162,無機化学工業製品製造業,19,249,186,249,186,-,105497,693908,988170,900660,10047,-,-,77463,271638,271638
2,163,有機化学工業製品製造業,6,97,72,96,71,1,x,x,x,x,x,-,-,31900,x,x
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,34,447,282,451,286,-,184289,711399,1227270,869811,72461,-,-,284998,475824,475824
2,165,医薬品製造業,17,253,152,253,152,-,101860,210678,613277,596647,12444,-,-,4186,371085,371085
2,166,化粧品・歯磨・その他の化粧用調整品製造業,31,401,173,402,174,1,139736,365149,676189,640648,26926,-,-,8615,286819,286819
2,169,その他の化学工業,27,315,214,317,215,-,148936,448659,808358,669646,21422,34,-,117256,334009,334009
1,170,石油製品・石炭製品製造業,14,215,165,215,165,-,x,x,x,x,x,-,-,x,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,26,20,26,20,-,x,x,x,x,x,-,-,x,x,x
2,174,舗装材料製造業,12,189,145,189,145,-,112813,1350401,2164372,1857467,-,-,-,306905,750353,750353
1,180,プラスチック製品製造業（別掲を除く）,534,5563,3303,5553,3296,14,2044358,3734022,8017557,6396014,1230723,x,1388,x,3949838,3949838
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,77,820,530,820,530,-,326985,454970,1079243,862474,170677,-,-,46092,575460,575460
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,75,653,383,646,377,8,x,x,x,x,x,x,-,x,x,x
2,183,工業用プラスチック製品製造業,193,2136,1282,2137,1283,2,774900,1422520,3093236,2579174,401350,418,1376,110918,1540947,1540947
2,184,発泡・強化プラスチック製品製造業,32,293,175,293,175,-,105226,201542,420030,358195,31214,-,-,30621,201375,201375
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,14,105,67,105,67,-,x,x,x,x,x,-,-,x,x,x
2,189,その他のプラスチック製品製造業,143,1556,866,1552,864,4,566392,1024666,2184940,1797156,314164,-,12,73608,1070005,1070005
1,190,ゴム製品製造業,173,1773,1071,1757,1059,17,594786,989402,2128448,1839479,226252,-,1456,61261,1051376,1051376
2,192,ゴム製・プラスチック製履物・同附属品製造業,8,79,45,77,44,2,x,x,x,x,x,-,-,x,x,x
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,141,1468,887,1454,876,15,497125,853502,1846960,1591485,203457,-,1441,50577,916631,916631
2,199,その他のゴム製品製造業,24,226,139,226,139,-,x,x,x,x,x,-,15,x,x,x
1,200,なめし革・同製品・毛皮製造業,190,1890,1152,1882,1148,17,672510,2227543,3575943,3351001,150178,3469,1261,70034,1243275,1243275
2,201,なめし革製造業,22,214,154,213,153,1,76798,112145,229664,157851,64083,-,1261,6469,108379,108379
2,202,工業用革製品製造業（手袋を除く）,1,29,15,29,15,-,x,x,x,x,-,-,-,-,x,x
2,203,革製履物用材料・同附属品製造業,18,180,100,179,99,1,53533,161395,248503,243090,5061,-,-,352,80311,80311
2,204,革製履物製造業,44,506,376,505,375,1,209336,720398,1176449,1103281,23566,1629,-,47973,420678,420678
2,206,かばん製造業,30,253,131,248,128,5,83161,174624,316378,293518,x,40,-,x,130652,130652
2,207,袋物製造業,62,606,320,606,322,9,210096,941965,1406645,1359278,30704,1800,-,14863,428334,428334
2,209,その他のなめし革製品製造業,13,102,56,102,56,-,x,x,x,x,x,-,-,x,x,x
1,210,窯業・土石製品製造業,163,2132,1689,2133,1691,7,1098450,6786746,10678770,10125723,153728,2240,-,397079,3590793,3590793
2,211,ガラス・同製品製造業,48,485,289,481,286,6,197086,329742,652149,540554,100283,625,-,10687,297723,297723
2,212,セメント・同製品製造業,80,1221,1058,1227,1064,-,685896,5855974,8746200,8581309,140,-,-,164751,2664253,2664253
2,214,陶磁器・同関連製品製造業,2,36,31,36,31,-,x,x,x,x,x,-,-,-,x,x
2,215,耐火物製造業,2,15,14,15,14,-,x,x,x,x,-,-,-,-,x,x
2,216,炭素・黒鉛製品製造業,1,5,4,5,4,-,x,x,x,x,-,-,-,-,x,x
2,217,研磨材・同製品製造業,9,116,82,116,82,-,53993,168362,290662,186790,7506,1615,-,94751,115176,115176
2,218,骨材・石工品等製造業,18,212,179,212,179,-,104476,202658,652013,505540,21103,-,-,125370,414154,414154
2,219,その他の窯業・土石製品製造業,3,42,32,41,31,1,23700,196932,239750,x,x,-,-,1520,39654,39654
1,220,鉄鋼業,87,957,763,956,762,1,452708,3142558,4216683,3673048,333353,-,6713,203569,993609,993609
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,2,36,30,36,30,-,x,x,x,x,x,-,-,x,x,x
2,225,鉄素形材製造業,8,101,86,101,86,-,x,x,x,x,x,-,-,x,x,x
2,229,その他の鉄鋼業,77,820,647,819,646,1,387225,2998363,3900097,3466521,272578,-,6713,154285,834709,834709
1,230,非鉄金属製造業,102,1113,752,1110,749,5,450537,3823553,4780834,4132544,x,x,13,295761,884113,884113
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,10,128,91,128,91,-,x,x,x,x,x,x,-,2668,x,x
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,22,216,140,214,138,2,80916,430283,662370,473066,97748,-,13,91543,214252,214252
2,234,電線・ケーブル製造業,14,148,69,147,68,1,x,x,x,x,x,-,-,-,x,x
2,235,非鉄金属素形材製造業,41,428,308,426,306,2,166593,282256,584580,477790,90475,-,-,16315,278641,278641
2,239,その他の非鉄金属製造業,15,193,144,195,146,-,98854,454103,649246,353351,110660,-,-,185235,181201,181201
1,240,金属製品製造業,1309,12779,9137,12742,9115,51,5106205,8019294,18288799,12321976,5290517,30731,9038,636537,9469981,9469981
2,241,ブリキ缶・その他のめっき板等製品製造業,7,79,52,79,52,-,x,x,x,x,x,-,-,x,x,x
2,242,洋食器・刃物・手道具・金物類製造業,118,984,645,977,638,7,376632,732736,1476655,1235872,138873,15393,502,86015,685785,685785
2,243,暖房・調理等装置、配管工事用附属品製造業,41,350,221,350,221,-,125438,250058,513930,385587,66986,6061,800,54496,243417,243417
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),359,3423,2654,3411,2647,14,x,x,x,x,x,7765,1536,x,x,x
2,245,金属素形材製品製造業,208,2150,1493,2138,1483,12,847279,1264378,2929192,2414924,470012,-,5667,38589,1535393,1535393
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,343,3487,2471,3490,2477,5,1375605,1183975,3752977,486147,3212352,1495,-,52983,2368974,2368974
2,247,金属線製品製造業（ねじ類を除く),23,198,136,198,136,-,72064,200667,380297,335938,39234,-,-,5125,165614,165614
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,101,1007,717,1000,713,7,406014,672802,1536991,1293200,197368,-,532,45891,797534,797534
2,249,その他の金属製品製造業,109,1101,748,1099,748,6,417972,536994,1317830,1027025,246706,17,1,44081,720253,720253
1,250,はん用機械器具製造業,290,2955,2224,2951,2221,6,1304826,2229687,4929625,3777283,669861,259876,1467,221138,2494082,2494082
2,251,ボイラ・原動機製造業,7,75,62,75,62,-,x,x,x,x,x,-,42,x,x,x
2,252,ポンプ・圧縮機器製造業,62,622,454,621,453,1,x,x,x,x,x,24332,-,x,x,x
2,253,一般産業用機械・装置製造業,108,1174,861,1173,860,1,519599,955309,2062717,1667741,240595,72304,51,82026,1022395,1022395
2,259,その他のはん用機械・同部分品製造業,113,1084,847,1082,846,4,484519,717405,1670929,1145008,254901,163240,1374,106406,880753,880753
1,260,生産用機械器具製造業,840,9046,6969,9041,6965,17,4118933,7855382,16286945,13905773,1649345,296958,409,434460,7813236,7813236
2,261,農業用機械製造業（農業用器具を除く）,4,81,55,81,55,-,x,x,x,x,x,x,-,x,x,x
2,262,建設機械・鉱山機械製造業,23,230,180,230,180,-,116300,227169,425865,371071,45819,3618,-,5357,183809,183809
2,263,繊維機械製造業,3,27,11,27,11,-,x,x,x,x,x,-,x,x,x,x
2,264,生活関連産業用機械製造業,109,1190,938,1188,936,2,590569,1531623,2797588,2390695,141461,111219,139,154074,1170789,1170789
2,265,基礎素材産業用機械製造業,64,728,563,728,563,-,x,x,x,x,x,x,x,x,x,x
2,266,金属加工機械製造業,234,2397,1849,2388,1843,9,1068434,1657119,3790442,2961918,665723,80070,183,82548,1973913,1973913
2,267,半導体・フラットパネルディスプレイ製造装置製造業,102,1312,1005,1321,1013,-,598968,1316974,2773208,2421530,301689,10975,-,39014,1363001,1363001
2,269,その他の生産用機械・同部分品製造業,301,3081,2368,3078,2364,6,1372309,2309264,4974084,4421350,420744,47102,76,84812,2462754,2462754
1,270,業務用機械器具製造業,397,4588,3217,4585,3214,13,2008262,3126749,7098844,6087138,431208,138585,24,441889,3690881,3690881
2,271,事務用機械器具製造業,12,128,104,128,104,-,63147,72434,182188,177491,2019,1072,-,1606,101154,101154
2,272,サービス・娯楽用機械器具製造業,23,243,158,243,158,-,94131,168856,354077,321363,14393,8475,-,9846,170719,170719
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,214,2602,1905,2602,1905,10,1167048,1890612,4144924,3475191,229460,110391,24,329858,2100288,2100288
2,274,医療用機械器具・医療用品製造業,108,1180,758,1178,756,2,510035,685421,1802794,1602215,107878,11324,-,81377,1034628,1034628
2,275,光学機械器具・レンズ製造業,37,417,277,416,276,1,165811,300888,595205,502222,66458,7323,-,19202,273845,273845
2,276,武器製造業,3,18,15,18,15,-,8090,8538,19656,8656,11000,-,-,-,10247,10247
1,280,電子部品・デバイス・電子回路製造業,194,2388,1390,2408,1405,5,855201,1386520,3021884,2341006,612138,3213,1300,64227,1511930,1511930
2,281,電子デバイス製造業,1,25,21,25,21,-,x,x,x,x,x,-,-,-,x,x
2,282,電子部品製造業,47,534,281,534,281,-,183482,349577,666427,622438,39479,2149,-,2361,293010,293010
2,283,記録メディア製造業,3,53,31,53,31,-,16916,12994,40530,1065,x,x,-,1796,25379,25379
2,284,電子回路製造業,58,774,456,795,472,3,251977,430061,847282,530570,309663,458,-,6591,384542,384542
2,285,ユニット部品製造業,9,97,63,97,63,-,x,x,x,x,x,x,-,17287,x,x
2,289,その他の電子部品・デバイス・電子回路製造業,76,905,538,904,537,2,341254,493844,1247235,1060244,149499,-,1300,36192,697176,697176
1,290,電気機械器具製造業,454,5229,3558,5309,3631,6,2175324,3981578,8285416,6752611,871812,112689,1378,546926,3990451,3990451
2,291,発電用・送電用・配電用電気機械器具製造業,167,1712,1210,1756,1249,1,699486,1140877,2461625,2001955,247290,10334,1204,200842,1217695,1217695
2,292,産業用電気機械器具製造業,57,744,464,743,464,2,287850,446426,974717,x,154737,10566,133,x,491037,491037
2,293,民生用電気機械器具製造業,32,423,279,422,278,1,163091,437352,853820,716991,50449,38410,-,47970,386933,386933
2,294,電球・電気照明器具製造業,39,452,273,452,273,-,173570,390181,766410,571039,109698,12879,41,72753,347172,347172
2,295,電池製造業,1,9,6,9,6,-,x,x,x,x,-,-,-,-,x,x
2,296,電子応用装置製造業,62,782,579,811,607,-,370027,687641,1464551,1230934,134232,17568,-,81817,725295,725295
2,297,電気計測器製造業,82,928,655,937,662,2,411518,706687,1468319,1270052,142318,17861,-,38088,708358,708358
2,299,その他の電気機械器具製造業,14,179,92,179,92,-,x,x,x,x,33088,5071,-,x,x,x
1,300,情報通信機械器具製造業,80,1110,741,1161,790,2,487981,940946,2054203,1761701,194081,14362,-,84059,1032396,1032396
2,301,通信機械器具・同関連機械器具製造業,27,446,336,493,380,-,208450,353579,745708,649808,71191,1977,-,22732,361950,361950
2,302,映像・音響機械器具製造業,31,393,218,397,223,2,151751,292894,663523,543402,76039,10693,-,33389,346937,346937
2,303,電子計算機・同附属装置製造業,22,271,187,271,187,-,127780,294473,644972,568491,46851,1692,-,27938,323509,323509
1,310,輸送用機械器具製造業,203,2299,1698,2300,1700,4,928693,1457604,3231789,2299156,838039,16646,84,77864,1637073,1637073
2,311,自動車・同附属品製造業,125,1423,1057,1425,1060,3,588261,945872,2002014,1402161,539654,5004,84,55111,973460,973460
2,312,鉄道車両・同部分品製造業,25,314,238,314,238,-,x,x,x,x,x,-,-,x,x,x
2,313,船舶製造・修理業、舶用機関製造業,9,83,62,83,62,-,x,x,x,x,x,-,-,x,x,x
2,314,航空機・同附属品製造業,16,204,157,203,156,1,90261,63342,236420,120994,115426,-,-,-,159521,159521
2,315,産業用運搬車両・同部分品・附属品製造業,8,76,59,76,59,-,x,x,x,x,x,1797,-,-,x,x
2,319,その他の輸送用機械器具製造業,20,199,125,199,125,-,64520,91147,243969,181420,42936,9845,-,9768,142581,142581
1,320,その他の製造業,476,4716,2928,4701,2918,22,1899710,4157927,8035375,x,870142,x,456,427789,3588164,3588164
2,321,貴金属・宝石製品製造業,60,573,324,573,324,1,226480,575216,1029683,776086,228595,775,-,24227,422247,422247
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,64,499,238,497,236,2,171110,418180,769728,707764,37757,-,171,24036,324005,324005
2,323,時計・同部分品製造業,4,47,31,47,31,-,x,x,x,x,x,x,-,-,x,x
2,324,楽器製造業,11,135,90,134,89,1,x,x,x,x,x,x,-,33693,x,x
2,325,がん具・運動用具製造業,58,562,318,560,317,3,215289,628832,1120752,955616,82720,540,122,81754,455830,455830
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,52,545,291,543,290,4,174951,336650,732281,564209,146397,42,-,21633,365232,365232
2,328,畳等生活雑貨製品製造業,29,264,138,262,137,2,96100,216059,420977,366250,32946,-,163,21618,189320,189320
2,329,他に分類されない製造業,198,2091,1498,2085,1494,9,951446,1917421,3787666,3240414,310094,16330,-,220828,1728371,1728371
,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,
第2-2表　産業小分類別統計表（従業者４～29人の事業所）,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,
