地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円)
2,13103,港区,1,24,金属製品製造業,3,18,13,-,18,13,-,3265,7030,12892,10680,1929,-,283,-,5402,5402
2,13103,港区,1,25,はん用機械器具製造業,2,34,28,-,34,28,-,x,x,x,x,-,-,-,x,x,x
2,13103,港区,1,26,生産用機械器具製造業,4,46,40,-,46,40,-,29369,65004,116543,115949,x,1,-,x,47501,47501
2,13103,港区,1,29,電気機械器具製造業,2,28,22,-,28,22,-,x,x,x,x,-,-,-,-,x,x
2,13103,港区,1,32,その他の製造業,3,28,17,-,28,17,-,9528,30175,49727,31155,11193,-,-,7379,18019,18019
2,13104,新宿区,0,00,総数,190,2002,1442,149,2149,1562,2,813421,3239066,5212513,4397010,735429,5212,648,74214,1820299,1820299
2,13104,新宿区,1,09,食料品製造業,9,102,67,-,102,67,-,x,x,x,x,x,-,-,x,x,x
2,13104,新宿区,1,10,飲料・たばこ・飼料製造業,2,35,28,-,35,28,-,x,x,x,x,x,-,x,-,x,x
2,13104,新宿区,1,11,繊維工業,9,71,35,-,71,35,-,17413,23241,53560,33704,19422,-,-,434,27944,27944
2,13104,新宿区,1,13,家具・装備品製造業,2,8,6,-,8,6,-,x,x,x,x,-,-,-,-,x,x
2,13104,新宿区,1,14,パルプ・紙・紙加工品製造業,12,146,89,-,146,89,-,x,x,x,x,x,-,x,-,x,x
2,13104,新宿区,1,15,印刷・同関連業,126,1346,1014,148,1494,1134,-,557469,2838992,4238605,3603922,588809,-,585,45289,1290348,1290348
2,13104,新宿区,1,16,化学工業,2,19,3,-,19,3,-,x,x,x,x,-,-,-,x,x,x
2,13104,新宿区,1,18,プラスチック製品製造業（別掲を除く）,3,42,35,-,42,35,-,16375,11658,73763,63064,-,-,-,10699,57240,57240
2,13104,新宿区,1,24,金属製品製造業,7,69,48,-,69,48,-,23692,22072,61559,45612,15943,-,4,-,36395,36395
2,13104,新宿区,1,26,生産用機械器具製造業,1,4,2,-,4,2,-,x,x,x,x,-,x,-,-,x,x
2,13104,新宿区,1,27,業務用機械器具製造業,2,15,12,-,15,12,-,x,x,x,x,-,-,-,-,x,x
2,13104,新宿区,1,28,電子部品・デバイス・電子回路製造業,2,15,10,-,15,10,-,x,x,x,x,x,-,-,-,x,x
2,13104,新宿区,1,29,電気機械器具製造業,3,32,25,1,33,26,-,18927,32772,70968,55371,731,1810,-,13056,35654,35654
2,13104,新宿区,1,30,情報通信機械器具製造業,2,32,23,-,32,23,-,x,x,x,x,-,x,-,x,x,x
2,13104,新宿区,1,32,その他の製造業,8,66,45,-,64,44,2,28138,56764,111674,49128,62003,-,-,543,50609,50609
2,13105,文京区,0,00,総数,181,1753,1234,6,1755,1232,4,708880,1176821,2655112,2012427,542877,2103,618,97087,1366679,1366679
2,13105,文京区,1,09,食料品製造業,5,41,24,-,41,24,-,17870,29827,73074,73074,-,-,-,-,40049,40049
2,13105,文京区,1,11,繊維工業,6,74,27,-,73,26,1,24531,47465,90994,49287,40365,-,-,1342,40119,40119
2,13105,文京区,1,12,木材・木製品製造業（家具を除く）,3,26,15,-,26,15,-,9781,14327,32928,32928,-,-,-,-,17144,17144
2,13105,文京区,1,13,家具・装備品製造業,1,7,4,-,7,4,-,x,x,x,-,x,x,-,-,x,x
2,13105,文京区,1,14,パルプ・紙・紙加工品製造業,3,12,7,-,12,7,-,2229,4470,9229,5216,4013,-,-,-,4386,4386
2,13105,文京区,1,15,印刷・同関連業,118,1192,881,6,1197,882,1,470284,739054,1756458,1279835,454161,-,618,21844,938031,938031
2,13105,文京区,1,16,化学工業,3,32,22,-,32,22,-,12879,64561,91832,91832,-,-,-,-,25134,25134
2,13105,文京区,1,18,プラスチック製品製造業（別掲を除く）,4,43,29,-,43,29,-,22818,28708,75363,65878,1725,-,-,7760,43000,43000
2,13105,文京区,1,19,ゴム製品製造業,1,4,4,-,4,4,-,x,x,x,x,-,-,-,-,x,x
2,13105,文京区,1,21,窯業・土石製品製造業,2,14,7,-,13,6,1,x,x,x,x,x,-,-,x,x,x
2,13105,文京区,1,24,金属製品製造業,3,19,15,-,18,14,1,5932,4795,13354,5709,7645,-,-,-,7888,7888
2,13105,文京区,1,26,生産用機械器具製造業,2,8,5,-,8,5,-,x,x,x,x,-,-,-,-,x,x
2,13105,文京区,1,27,業務用機械器具製造業,12,125,88,-,125,88,-,62171,94079,211803,176150,21640,654,-,13359,108651,108651
2,13105,文京区,1,29,電気機械器具製造業,3,45,34,-,45,34,-,15885,41799,69783,68528,-,717,-,538,28833,28833
2,13105,文京区,1,32,その他の製造業,15,111,72,-,111,72,-,x,x,x,x,x,x,-,x,x,x
2,13106,台東区,0,00,総数,323,2852,1802,2,2837,1792,17,1062811,2790431,4916893,4136169,610244,13104,312,157064,1962358,1962358
2,13106,台東区,1,09,食料品製造業,22,216,135,-,210,133,6,x,x,x,x,x,-,-,x,x,x
2,13106,台東区,1,11,繊維工業,30,264,115,-,264,115,-,87738,267192,446991,381153,32837,9143,-,23858,165742,165742
2,13106,台東区,1,12,木材・木製品製造業（家具を除く）,4,30,13,-,30,13,-,5638,5462,17392,15492,1900,-,-,-,10996,10996
2,13106,台東区,1,13,家具・装備品製造業,7,56,41,-,56,41,-,x,x,x,x,x,x,-,-,x,x
2,13106,台東区,1,14,パルプ・紙・紙加工品製造業,29,266,166,-,264,164,2,90320,153922,345037,230942,74383,-,284,39428,176142,176142
2,13106,台東区,1,15,印刷・同関連業,64,560,381,-,557,379,3,214721,422159,812419,619746,165976,-,28,26669,359941,359941
2,13106,台東区,1,16,化学工業,3,24,14,-,24,14,-,11798,29856,51593,35949,6111,-,-,9533,20040,20040
2,13106,台東区,1,18,プラスチック製品製造業（別掲を除く）,8,70,45,1,71,45,-,22738,24144,56921,29981,26940,-,-,-,30230,30230
2,13106,台東区,1,19,ゴム製品製造業,5,32,24,-,32,24,-,13077,25189,54188,49443,200,-,-,4545,26963,26963
2,13106,台東区,1,20,なめし革・同製品・毛皮製造業,53,529,342,-,528,341,1,x,x,x,x,x,x,-,x,x,x
2,13106,台東区,1,21,窯業・土石製品製造業,3,16,13,-,15,12,1,4812,4634,10364,5614,x,-,-,x,5282,5282
2,13106,台東区,1,23,非鉄金属製造業,2,11,7,-,11,7,-,x,x,x,x,x,-,-,-,x,x
2,13106,台東区,1,24,金属製品製造業,27,191,138,-,189,136,2,68598,59563,166207,98766,63080,-,-,4361,98286,98286
2,13106,台東区,1,26,生産用機械器具製造業,2,27,23,-,27,23,-,x,x,x,x,-,-,-,-,x,x
2,13106,台東区,1,27,業務用機械器具製造業,5,70,50,-,70,50,-,35825,21971,104136,102460,-,259,-,1417,76619,76619
2,13106,台東区,1,29,電気機械器具製造業,5,46,33,-,46,33,-,19914,33672,70565,56610,13086,543,-,326,34104,34104
2,13106,台東区,1,30,情報通信機械器具製造業,1,11,8,-,11,8,-,x,x,x,x,-,x,-,x,x,x
2,13106,台東区,1,31,輸送用機械器具製造業,4,24,18,-,24,18,-,9504,15416,30966,29030,1872,-,-,64,14336,14336
2,13106,台東区,1,32,その他の製造業,49,409,236,1,408,236,2,166438,617406,983334,814335,151236,185,-,17578,337343,337343
2,13107,墨田区,0,00,総数,598,5922,3893,19,5913,3891,28,2237237,5101908,9684373,7596454,1564561,18970,23611,480777,4229544,4229544
2,13107,墨田区,1,09,食料品製造業,28,312,201,-,311,200,1,118328,482850,725374,671339,-,-,21385,32650,224541,224541
2,13107,墨田区,1,10,飲料・たばこ・飼料製造業,4,78,69,-,78,69,-,33642,47252,107564,105431,-,-,-,2133,53499,53499
2,13107,墨田区,1,11,繊維工業,52,510,252,2,510,251,2,171478,886358,1268296,869148,247948,-,-,151200,352813,352813
2,13107,墨田区,1,12,木材・木製品製造業（家具を除く）,2,11,7,-,10,6,1,x,x,x,x,-,-,-,x,x,x
2,13107,墨田区,1,13,家具・装備品製造業,12,86,69,1,87,70,-,31992,69809,129076,109510,19566,-,-,-,54624,54624
2,13107,墨田区,1,14,パルプ・紙・紙加工品製造業,38,338,202,-,332,200,6,x,x,x,x,x,-,x,x,x,x
2,13107,墨田区,1,15,印刷・同関連業,90,991,684,-,988,682,3,374939,543529,1322881,861779,x,-,x,30559,718680,718680
2,13107,墨田区,1,16,化学工業,10,98,73,4,102,77,-,43977,92193,167978,154774,9624,-,-,3580,69853,69853
2,13107,墨田区,1,17,石油製品・石炭製品製造業,1,13,10,-,13,10,-,x,x,x,x,-,-,-,-,x,x
2,13107,墨田区,1,18,プラスチック製品製造業（別掲を除く）,30,270,167,-,266,164,4,x,x,x,x,x,-,-,x,x,x
2,13107,墨田区,1,19,ゴム製品製造業,42,470,301,-,469,300,1,x,x,x,x,x,-,x,x,x,x
2,13107,墨田区,1,20,なめし革・同製品・毛皮製造業,44,480,301,9,487,306,2,167652,586811,925492,844677,69135,700,1261,9719,312270,312270
2,13107,墨田区,1,21,窯業・土石製品製造業,5,43,28,-,43,28,-,12902,7920,29923,13436,15862,625,-,-,20279,20279
2,13107,墨田区,1,22,鉄鋼業,5,31,21,-,31,21,-,x,x,x,x,x,-,-,-,x,x
2,13107,墨田区,1,23,非鉄金属製造業,4,40,24,-,40,24,-,19367,56890,100524,39187,4960,-,-,56377,40215,40215
2,13107,墨田区,1,24,金属製品製造業,121,1120,754,-,1114,751,6,x,x,x,x,x,-,x,x,x,x
2,13107,墨田区,1,25,はん用機械器具製造業,10,77,59,-,77,59,-,x,x,x,x,x,x,-,x,x,x
2,13107,墨田区,1,26,生産用機械器具製造業,30,298,243,-,298,243,-,x,x,x,x,x,x,-,x,x,x
2,13107,墨田区,1,27,業務用機械器具製造業,6,48,36,-,48,36,-,x,x,x,x,x,-,-,x,x,x
2,13107,墨田区,1,28,電子部品・デバイス・電子回路製造業,3,34,6,1,35,7,-,15030,38678,88706,85382,200,-,-,3124,46273,46273
2,13107,墨田区,1,29,電気機械器具製造業,8,79,55,-,79,55,-,37615,72159,170039,156230,12667,-,-,1142,90293,90293
2,13107,墨田区,1,30,情報通信機械器具製造業,1,9,7,-,9,7,-,x,x,x,x,-,-,-,-,x,x
2,13107,墨田区,1,31,輸送用機械器具製造業,7,89,66,-,89,66,-,31773,72792,134479,121802,5342,5219,-,2116,57035,57035
2,13107,墨田区,1,32,その他の製造業,45,397,258,2,397,259,2,159188,376758,682708,623891,22504,145,171,35997,285859,285859
2,13108,江東区,0,00,総数,392,4026,2793,11,4021,2791,16,1723316,7105698,11993222,10199570,1408938,47742,1070,335902,4508370,4508370
2,13108,江東区,1,09,食料品製造業,29,430,262,-,430,262,-,173765,2043688,2505806,2298242,164482,-,-,43082,427497,427497
2,13108,江東区,1,10,飲料・たばこ・飼料製造業,1,7,6,-,7,6,-,x,x,x,x,-,-,x,-,x,x
2,13108,江東区,1,11,繊維工業,16,124,50,-,120,49,4,38333,176690,310082,104093,92294,89,-,113606,123345,123345
2,13108,江東区,1,12,木材・木製品製造業（家具を除く）,18,154,124,3,157,126,-,x,x,x,x,x,-,-,x,x,x
2,13108,江東区,1,13,家具・装備品製造業,10,75,53,-,74,52,1,30417,57482,122064,113493,8383,37,1,150,59533,59533
2,13108,江東区,1,14,パルプ・紙・紙加工品製造業,27,253,147,-,253,147,-,x,x,x,x,x,-,-,x,x,x
2,13108,江東区,1,15,印刷・同関連業,127,1186,845,2,1185,844,3,491570,1046226,2144217,1650148,476387,174,641,16867,1012357,1012357
2,13108,江東区,1,16,化学工業,6,111,80,-,111,80,-,x,x,x,x,x,-,-,-,x,x
2,13108,江東区,1,17,石油製品・石炭製品製造業,2,43,31,-,43,31,-,x,x,x,x,-,-,-,x,x,x
2,13108,江東区,1,18,プラスチック製品製造業（別掲を除く）,13,127,58,-,127,58,-,45519,101940,229222,154747,72194,-,12,2269,117486,117486
2,13108,江東区,1,19,ゴム製品製造業,6,57,38,-,57,38,-,26468,51921,93570,79548,105,-,215,13702,38476,38476
2,13108,江東区,1,20,なめし革・同製品・毛皮製造業,2,15,6,-,15,6,-,x,x,x,x,-,-,-,-,x,x
2,13108,江東区,1,21,窯業・土石製品製造業,22,321,255,4,325,259,-,x,x,x,x,x,-,-,x,x,x
2,13108,江東区,1,22,鉄鋼業,9,103,86,-,103,86,-,39222,296859,399895,376716,18109,-,-,5070,94962,94962
2,13108,江東区,1,23,非鉄金属製造業,4,50,38,2,51,39,1,x,x,x,x,x,-,-,-,x,x
2,13108,江東区,1,24,金属製品製造業,43,368,279,-,366,277,2,x,x,x,x,x,x,x,x,x,x
2,13108,江東区,1,25,はん用機械器具製造業,6,60,46,-,60,46,-,17893,39648,97245,34995,52350,2400,-,7500,53084,53084
2,13108,江東区,1,26,生産用機械器具製造業,19,195,141,-,191,138,4,x,x,x,x,x,x,-,x,x,x
2,13108,江東区,1,27,業務用機械器具製造業,3,20,16,-,20,16,-,x,x,x,x,x,x,-,x,x,x
2,13108,江東区,1,29,電気機械器具製造業,8,88,68,-,88,68,-,x,x,x,x,x,x,-,x,x,x
2,13108,江東区,1,30,情報通信機械器具製造業,2,29,21,-,29,21,-,x,x,x,x,x,x,-,x,x,x
2,13108,江東区,1,31,輸送用機械器具製造業,6,82,69,-,82,69,-,x,x,x,x,x,-,-,x,x,x
2,13108,江東区,1,32,その他の製造業,13,128,74,-,127,73,1,52370,93309,223982,178267,24949,-,-,20766,120755,120755
2,13109,品川区,0,00,総数,288,2906,2001,4,2904,1999,6,1224770,2157688,4616321,3700299,578242,32755,3454,301571,2273744,2273744
2,13109,品川区,1,09,食料品製造業,14,146,69,-,146,69,-,42255,96872,170731,137267,418,-,-,33046,68408,68408
2,13109,品川区,1,10,飲料・たばこ・飼料製造業,1,6,2,-,6,2,-,x,x,x,x,x,-,-,-,x,x
2,13109,品川区,1,11,繊維工業,2,24,7,-,23,7,1,x,x,x,x,x,-,-,-,x,x
2,13109,品川区,1,12,木材・木製品製造業（家具を除く）,1,4,1,-,4,1,-,x,x,x,x,-,x,-,-,x,x
2,13109,品川区,1,13,家具・装備品製造業,1,20,13,-,20,13,-,x,x,x,-,x,-,-,-,x,x
2,13109,品川区,1,14,パルプ・紙・紙加工品製造業,7,66,47,-,66,47,-,21967,53431,103080,92109,9532,-,-,1439,45879,45879
2,13109,品川区,1,15,印刷・同関連業,46,438,325,2,439,325,1,185393,210675,577564,427488,145942,-,-,4134,338255,338255
2,13109,品川区,1,16,化学工業,3,65,23,-,65,23,-,22281,67781,107194,100694,-,-,-,6500,36366,36366
2,13109,品川区,1,18,プラスチック製品製造業（別掲を除く）,29,274,182,1,275,183,-,113709,250454,489998,418228,60900,-,-,10870,220994,220994
2,13109,品川区,1,19,ゴム製品製造業,4,45,29,-,45,29,-,20664,35786,71880,59585,586,-,-,11709,33299,33299
2,13109,品川区,1,20,なめし革・同製品・毛皮製造業,1,6,3,-,6,3,-,x,x,x,x,-,-,-,-,x,x
2,13109,品川区,1,21,窯業・土石製品製造業,4,56,41,-,55,40,1,29951,102780,164423,81992,4680,1615,-,76136,58914,58914
2,13109,品川区,1,22,鉄鋼業,1,10,7,-,10,7,-,x,x,x,-,x,-,-,-,x,x
2,13109,品川区,1,23,非鉄金属製造業,5,49,34,-,48,33,1,21580,33062,66121,55799,10322,-,-,-,30469,30469
2,13109,品川区,1,24,金属製品製造業,41,383,262,-,382,261,1,x,x,x,x,x,x,x,x,x,x
2,13109,品川区,1,25,はん用機械器具製造業,19,181,134,-,181,134,-,x,x,x,x,x,x,x,x,x,x
