年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/ 注3)平均消費性向（％）,生計（東京都勤労者世帯）/ 注4)公共的料金負担率（％）,注2)実質賃金指数/調査産業計
平成23年9月,2011,9,99.9,99.6,-,679,94.5,95.2,471786,323572,84,31.9,80.2
平成23年10月,2011,10,100,99.9,-,673.7,96.7,96.7,508855,344634,81.8,32.3,80.6
平成23年11月,2011,11,99.4,99.2,-,672.9,96.3,94.7,479371,319838,81,27,84.9
平成23年12月,2011,12,99.4,99.3,-,673,111.7,109.2,922411,370209,49,25.2,186.7
平成24年1月,2012,1,99.6,99.1,-,670,96.2,95.7,469832,342172,89.2,29.1,80.5
平成24年2月,2012,2,99.8,99.1,-,675.6,97.1,96.7,525311,305537,71.1,33.2,80.8
平成24年3月,2012,3,100.3,99.5,-,689.4,102.5,101.4,525587,370774,85.7,28,86.6
平成24年4月,2012,4,100.4,99.5,-,688.5,105.2,107.5,500312,389197,94.7,38.8,83.7
平成24年5月,2012,5,100.1,99.2,-,679.9,97.3,93.7,463145,341678,95.3,29.7,82.1
平成24年6月,2012,6,99.6,98.8,-,671.9,94.8,93.6,779220,334559,54.9,25.7,159.1
平成24年7月,2012,7,99.3,98.7,-,665.7,96.6,97,638884,357590,71.6,26.8,106.8
平成24年8月,2012,8,99.4,98.8,-,666.6,97.4,96.3,520112,334604,79.2,27.8,81.5
平成24年9月,2012,9,99.6,98.9,-,669.5,93.7,95.8,487533,340720,86.8,30.2,84
平成24年10月,2012,10,99.6,99.1,-,668.9,96.6,97.3,529505,352841,82,32.7,82.3
平成24年11月,2012,11,99.2,98.7,-,671.9,96.6,96.3,500671,336663,84.3,27.1,83.4
平成24年12月,2012,12,99.3,98.7,-,679.1,111,111.6,965169,371557,47,25.3,187.2
平成25年1月,2013,1,99.3,98.6,-,692.2,98.5,99.5,476992,353013,91.9,32.3,81.4
平成25年2月,2013,2,99.2,98.2,-,703.6,101.4,102.7,-,-,-,-,-
,,,,,,,,,,,,,
東京の物価／平成25年3月,,,,,,,,,,,,,
参考表１　主要指標,,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、   これを平成22年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成22年＝100),,,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,,
