2022/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
21,0.47,2.5,0.25,2.4,ENE,NW,4,NNW,8.2,129,,
22,0.41,2.5,0.23,2.5,,NNE,2,NNW,8.6,107,,
23,0.67,3,0.28,2.9,WNW,NNE,2,NNW,8.5,83,,
24,0.38,2,0.2,2.4,,NE,4,NNW,7.8,58,,
最大,0.67,4,0.29,3.2,最多,平均,12,最多,8.7,平均,平均,
平均,0.41,2.8,0.21,2.7,NW,NW,4.1,NNW,6,102,,
2022/1/8,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.33,2,0.18,2.5,,SE,7,NNW,6.8,33,,
2,0.36,1.5,0.19,2.4,,E,3,NNW,7.4,16,,
3,0.32,2.5,0.18,2.7,,NW,6,NNW,5.3,16,,
4,0.36,2.5,0.2,2.5,,W,8,NNE,2.1,36,,
5,0.3,2,0.15,2.8,,W,10,NE,3.6,65,,
6,0.55,3,0.19,2.8,,WNW,13,NE,2.9,99,,
7,0.34,2.5,0.17,2.8,,W,12,NNE,3.1,127,,
8,0.42,3,0.2,2.9,,NNW,6,NNE,3.3,144,,
9,0.41,3,0.21,2.9,,WNW,4,NE,3.3,151,,
10,0.6,3,0.2,3.2,,W,1,N,2.5,147,,
11,0.25,2,0.16,2.8,,ESE,2,NNE,2.9,133,,
12,0.28,3,0.15,2.9,,E,2,NNE,2,117,,
13,0.39,2.5,0.19,3,,ESE,7,NE,2.3,99,,
14,0.3,3,0.18,2.8,,SSE,5,ESE,3.3,84,,
15,0.4,2.5,0.21,2.7,,NW,4,SE,3.4,77,,
16,0.68,3.5,0.23,2.8,,SSW,5,ESE,2.5,81,,
17,0.41,2,0.22,2.6,,WNW,5,ESE,1.7,98,,
18,0.3,2,0.16,2.9,,WSW,8,ESE,1.4,119,,
19,0.29,2.5,0.16,2.7,,WNW,8,SE,2.8,138,,
20,0.39,3,0.2,3,,WNW,7,SE,3.2,142,,
21,0.22,3.5,0.13,2.8,,WSW,4,SE,2.9,134,,
22,0.37,3,0.17,2.5,,WSW,6,SE,3.7,121,,
23,0.35,3.5,0.2,2.7,,WNW,7,S,2.3,104,,
24,0.26,2.5,0.14,2.1,,ESE,3,WNW,2.3,85,,
最大,0.68,3.5,0.23,3.2,最多,平均,13,最多,7.4,平均,平均,
平均,0.37,2.6,0.18,2.7,,W,3.2,SE,3.2,99,,
2022/1/9,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.17,2.5,0.1,2.3,,NE,2,NW,2.7,67,,
2,0.16,1.5,0.09,2.4,,NNE,3,NNW,3.1,50,,
3,0.25,3,0.1,2.5,,NNE,3,NW,2.9,44,,
4,0.12,3,0.08,2.5,,NNW,5,NW,3,50,,
5,0.37,3.5,0.11,2.5,,NW,4,SW,3.5,69,,
6,0.25,3,0.13,2.8,,W,4,WSW,3.5,96,,
7,0.27,3,0.13,2.8,,W,8,NW,2.2,125,,
8,0.42,2.5,0.2,2.9,,SW,7,NNE,1.7,145,,
9,0.29,3,0.18,3,,SSE,5,NNW,0.7,154,,
10,0.25,2.5,0.14,2.7,,SSE,3,NNE,2.3,152,,
11,0.37,3,0.16,2.9,,SE,4,NNE,1.8,142,,
12,0.25,2.5,0.14,2.8,,E,7,N,2.5,128,,
13,0.34,2.5,0.14,2.6,,SE,4,ENE,1.7,114,,
14,0.25,2.5,0.16,2.9,,E,5,ESE,3.4,100,,
15,0.5,3,0.25,2.8,SSW,ESE,11,ENE,0.9,87,,
16,0.39,3,0.23,2.7,,S,1,SE,0.9,80,,
17,0.5,3.5,0.23,2.9,,WNW,5,ENE,0.4,86,,
18,0.25,2.5,0.12,2.5,,WNW,9,NW,0.5,99,,
19,0.25,3,0.14,2.8,,W,7,NNW,1.5,113,,
20,0.28,2.5,0.15,2.9,,WNW,5,NNW,2.4,126,,
21,0.2,3,0.1,3,,WSW,5,N,1.9,131,,
22,0.14,3.5,0.08,3,,W,7,N,3.3,125,,
23,0.37,3.5,0.15,3.3,,WNW,6,N,3.9,116,,
24,0.17,2,0.08,2.6,,W,2,N,2.9,103,,
最大,0.5,3.5,0.25,3.3,最多,平均,11,最多,3.9,平均,平均,
平均,0.28,2.8,0.14,2.8,,W,1.4,N,2.2,104,,
2022/1/10,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.12,1.5,0.07,2.3,,NW,5,NNW,4.8,86,,
2,0.13,2,0.09,2.3,,NNE,4,N,5.4,75,,
3,0.16,3,0.09,2.3,,NNW,5,N,5.7,67,,
4,0.15,3,0.09,2.1,,NW,5,NNW,6.3,65,,
5,0.29,3.5,0.16,2.9,,NNW,4,NNW,5.7,72,,
6,0.25,1.5,0.13,2.6,,W,3,N,6.2,87,,
7,0.41,3,0.21,3,,NNW,3,N,5,107,,
8,0.29,2.5,0.18,2.8,,WNW,1,NNW,5,127,,
9,0.32,3,0.18,3,,SW,5,N,4.7,141,,
10,0.4,4,0.19,2.8,,S,5,N,4.3,147,,
11,0.57,3,0.2,3.1,,E,4,NNE,5,146,,
12,0.34,3,0.16,2.7,,ENE,8,NNE,4.3,136,,
13,0.33,2,0.17,2.7,,ESE,7,NNE,3.9,120,,
14,0.29,2.5,0.17,2.6,,E,8,NNE,4.1,104,,
15,0.34,2.5,0.21,2.6,,E,2,NE,5.7,90,,
16,0.46,2.5,0.26,2.7,ENE,E,7,NE,5.5,77,,
17,0.55,2.5,0.32,2.7,ENE,ESE,7,ENE,6.8,72,,
18,0.56,2.5,0.34,2.8,ESE,E,4,ENE,6.4,74,,
19,0.54,2.5,0.28,2.6,ESE,ESE,8,NE,3.2,84,,
20,0.41,2.5,0.24,2.6,,SE,8,NE,2.9,95,,
21,0.3,2.5,0.19,2.7,,SSE,2,NNE,2.2,105,,
22,0.31,2.5,0.15,2.2,,NW,3,NNE,2.2,111,,
23,0.3,3,0.18,2.5,,E,4,N,1.4,113,,
24,0.23,3,0.14,2.5,,SE,3,NNE,2.7,111,,
最大,0.57,4,0.34,3.1,最多,平均,8,最多,6.8,平均,平均,
平均,0.34,2.6,0.18,2.6,ESE,E,1.9,N,4.6,101,,
2022/1/11,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.26,2.5,0.13,2.4,,ESE,4,NNE,2.7,107,,
2,0.17,2,0.1,2.4,,SW,4,NNE,2.6,101,,
3,0.13,1.5,0.08,2.6,,WSW,6,N,2.9,90,,
4,0.13,3,0.07,3,,WNW,4,N,4.2,84,,
5,0.41,3,0.16,3.1,,W,6,N,3.8,85,,
6,0.45,2,0.15,2.8,,WSW,10,NNW,4,95,,
7,0.3,3.5,0.19,3,,W,18,NW,5.3,110,,
8,0.53,5.5,0.19,3.1,,W,10,NNW,5.4,127,,
9,0.28,2.5,0.17,2.8,,WSW,9,NNW,4.8,141,,
10,0.34,1.5,0.2,2.5,,NNW,13,NNW,3.8,151,,
11,0.34,3.5,0.19,3,,WNW,8,N,2.9,157,,
12,0.35,3.5,0.19,2.9,,WNW,7,NNW,2.7,155,,
13,0.46,2,0.19,2.9,,W,9,NNW,2.6,147,,
14,0.33,3.5,0.16,3.4,,WSW,5,N,2.7,133,,
15,0.52,2.5,0.24,3.1,,NE,2,NNE,2.4,117,,
16,0.47,3,0.22,3,,ENE,2,NE,1.1,103,,
17,0.46,3,0.18,2.8,,SW,3,NNE,1.1,89,,
18,0.34,2.5,0.17,3,,WSW,6,W,1.9,83,,
19,0.5,2.5,0.26,3,NW,NNW,4,NNW,1.9,85,,
20,0.29,3,0.15,2.9,,NW,3,NNW,0.7,90,,
21,0.24,3,0.11,3.4,,WSW,7,NW,2.4,101,,
22,0.27,6,0.11,2.9,,NNW,5,W,1.7,115,,
23,0.41,3.5,0.16,2.9,,N,5,WSW,2.8,125,,
24,0.59,4,0.16,3.1,,NNW,7,WSW,1.9,130,,
最大,0.59,6,0.26,3.4,最多,平均,18,最多,5.4,平均,平均,
平均,0.36,3,0.16,2.9,,W,4.7,NNW,2.8,113,,
2022/1/12,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.21,3.5,0.08,3.2,,N,6,SW,1.4,131,,
2,0.31,1.5,0.15,1.9,,NNE,4,NW,7.4,129,,
3,0.25,1.5,0.13,2.4,,NNW,3,NW,6.9,124,,
4,0.28,1.5,0.14,2.1,,WNW,3,NW,7.6,119,,
5,0.42,3,0.15,3,,WNW,7,N,3.7,112,,
6,0.63,2.5,0.2,2.9,,WNW,10,NNW,5.9,111,,
7,0.42,2.5,0.2,3.1,,NW,10,NNW,6.4,117,,
8,0.37,3,0.17,2.8,,WNW,11,NW,5.2,128,,
9,0.31,1.5,0.16,2.8,,NW,8,NNW,2.6,138,,
10,0.4,4,0.21,2.7,,W,9,NW,4.7,148,,
11,0.49,2.5,0.19,2.7,,WSW,7,NNW,6,152,,
12,0.37,2,0.19,2.4,,WNW,3,NNW,7.3,151,,
13,0.41,2.5,0.22,2.7,,N,5,N,6.3,145,,
14,0.44,4,0.21,2.9,,WNW,4,NNW,6,136,,
15,0.5,3,0.2,3,,S,3,NNW,4.5,122,,
16,0.34,2.5,0.19,2.9,,ESE,8,NNW,6.1,104,,
17,0.39,2.5,0.2,2.7,,SE,11,NNW,7.7,84,,
18,0.51,3,0.2,2.6,,ESE,9,NNW,5.8,67,,
19,0.33,1.5,0.19,2.5,,SSE,3,NNW,7.3,54,,
20,0.34,2,0.18,2.2,,E,2,NNW,7.5,51,,
21,0.33,2,0.15,2.2,,NW,9,NNW,7.1,57,,
22,0.27,2.5,0.14,2.2,,NW,11,NW,6.5,73,,
23,0.48,2.5,0.22,3,,NW,8,NW,4.5,96,,
24,0.29,2,0.14,2.5,,WNW,8,NW,6,112,,
最大,0.63,4,0.22,3.2,最多,平均,11,最多,7.7,平均,平均,
平均,0.38,2.5,0.18,2.6,,NW,3.2,NNW,5.9,111,,
2022/1/13,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.2,2,0.12,2.7,,WNW,6,NNW,3.9,122,,
2,0.31,3.5,0.14,2.2,,S,6,NNW,5.7,127,,
3,0.34,2,0.16,2.4,,SSW,3,NNW,7.1,130,,
4,0.35,1.5,0.17,2.1,,WSW,5,NNW,6.9,127,,
5,0.44,3,0.22,2.3,,WSW,3,NNW,8.1,122,,
6,0.62,2.5,0.25,2.5,W,WSW,3,NNW,8,116,,
7,0.58,3,0.23,2.7,,SSW,4,NNW,5,115,,
8,0.37,2.5,0.21,2.8,,W,3,NW,2.5,118,,
9,0.34,3.5,0.19,3,,SSW,6,WNW,1.9,126,,
10,0.36,2.5,0.2,2.7,,SSW,3,S,0.6,138,,
11,0.42,3.5,0.2,3.1,,W,5,SSE,4.4,148,,
12,0.42,2.5,0.22,2.4,,ESE,6,S,6.7,155,,
13,0.56,2,0.31,2.2,NNE,SW,3,SSW,7.8,160,,
14,0.54,2,0.35,2.3,SE,N,3,SSW,8.1,158,,
15,1.1,2,0.53,2.3,NW,ENE,4,SW,11.8,151,,
16,0.97,2,0.53,2.3,NNW,ENE,1,WSW,12.3,139,,
17,0.82,2,0.46,2.5,SSW,WSW,7,SW,12.1,116,,
18,0.66,2,0.36,2.7,NNE,WSW,4,WSW,9.5,87,,
19,0.41,3,0.24,3.8,,WNW,6,W,4.2,61,,
20,0.35,3.5,0.23,3.5,,W,10,W,4.9,45,,
21,0.43,2.5,0.24,3.1,,W,16,NW,5.8,46,,
22,0.43,2.5,0.26,2.8,ESE,WNW,15,NW,7.1,58,,
23,0.43,3,0.23,2.8,,WNW,14,NW,8.5,73,,
24,0.4,3,0.25,2.3,E,W,13,NW,7.8,94,,
最大,1.1,3.5,0.53,3.8,最多,平均,16,最多,12.3,平均,平均,
平均,0.49,2.6,0.26,2.6,NNE,W,4.4,NNW,6.7,114,,
2022/1/14,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.44,2,0.21,2.4,,W,13,NW,7.7,114,,
2,0.29,2,0.16,2.4,,WNW,15,NW,7.4,127,,
3,0.29,2.5,0.17,2.7,,W,11,NW,5.2,139,,
4,0.29,1.5,0.16,2.6,,W,6,NNW,6,145,,
5,0.43,2.5,0.24,2.4,,WSW,9,NW,8.3,138,,
6,0.44,2,0.21,2.4,,WSW,7,NW,6.9,126,,
7,0.3,3,0.18,2.8,,W,6,NW,4.9,118,,
8,0.46,4,0.25,3.4,ENE,WSW,6,NW,3.7,113,,
9,0.33,3,0.17,2.9,,W,6,W,1.5,112,,
10,0.34,3,0.19,2.8,,W,3,WSW,1.7,118,,
11,0.33,3,0.19,2.8,,WSW,7,WNW,4.8,129,,
12,0.38,2.5,0.21,2.5,,SW,6,W,4.6,138,,
13,0.4,3,0.21,2.3,,W,8,WNW,8,144,,
14,0.46,2,0.25,2.3,ESE,W,10,NW,8.2,148,,
15,0.54,2,0.29,2.3,WNW,NW,12,NW,9.8,145,,
16,0.58,4,0.28,2.6,W,NW,8,NW,6.9,134,,
17,0.59,3.5,0.29,2.8,NNE,WNW,7,NNW,5.9,112,,
18,0.52,2.5,0.29,2.4,SSW,W,7,NW,9.4,82,,
19,0.69,2,0.36,2.5,WNW,WNW,8,NW,11.1,54,,
20,0.44,2,0.27,2.3,SE,W,9,NW,8.4,28,,
