,（公財）東京都人権啓発センターD1（百万円）,（公財）東京都島しょ振興公社D2（百万円）,（公財）東京税税務協会D3（百万円）,（公財）東京都歴史文化財団D4（百万円）,（公財）東京都交響楽団D5（百万円）,（公財）東京都スポーツ文化事業団D6（百万円）,（一財）東京マラソン財団D7（百万円）,（公財）東京都都市づくり公社D8（百万円）,（公財）東京都環境公社D9（百万円）,（公財）東京都福祉保健財団D10（百万円）,（公財）東京都医学総合研究所D11（百万円）,（公財）城北労働・福祉センターD12（百万円）,（公財）東京都保健医療公社D13（百万円）,（公財）東京都中小企業振興公社D14（百万円）,（公財）東京しごと財団D15（百万円）,（公財）東京都農林水産振興財団D16（百万円）,（公財）東京観光財団D17（百万円）,（公財）東京動物園協会D18（百万円）,（公財）東京都公園協会D19（百万円）,（公財）東京都道路整備保全公社D20（百万円）,（公財）東京防災救急協会D21（百万円）,（単純合計）(D)（百万円）,備考
貸借対照表／〔資産の部〕無形固定資産長期貸付金,-,-,-,-,30,-,-,19,-,5055,-,0,-,-,-,21,-,0,-,43,-,5170,
貸借対照表／〔資産の部〕無形固定資産基金,-,-,-,-,-,-,-,-,-,1800,-,-,-,36628,-,2125,769,55,-,-,-,41379,
貸借対照表／〔資産の部〕無形固定資産その他の投資等,164,6677,521,3036,288,1294,892,52693,1742,1760,478,48,1358,3720,716,4277,3621,1165,4138,4145,1528,94272,
貸借対照表／〔資産の部〕3繰延資産,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
貸借対照表／資産合計,258,7130,882,10043,775,3483,2954,75748,39251,9707,2176,124,20922,84826,2304,7390,6453,3362,9680,20857,2544,310880,
貸借対照表／〔負債の部〕1流動負債,14,36,84,2317,198,1456,1684,8541,34478,744,898,47,8426,43303,1544,552,1799,1301,2712,10919,146,121209,
貸借対照表／〔負債の部〕2固定負債,-,2240,9,785,58,470,-,3308,210,6238,304,27,8596,37611,188,930,3274,151,270,489,78,65243,
貸借対照表／〔負債の部〕2固定負債長期借入金,-,2240,-,-,-,-,-,-,-,1076,-,-,-,20000,-,869,-,-,-,39,-,24225,
貸借対照表／〔負債の部〕2固定負債その他の固定負債,-,-,9,785,58,470,-,3308,210,5162,304,27,8596,17611,188,61,3274,151,270,449,78,41018,
貸借対照表／〔負債の部〕3繰延収益,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
貸借対照表／負債合計,14,2276,93,3102,256,1926,1684,11850,34688,6982,1203,74,17022,80915,1732,1483,5074,1452,2982,11409,224,186453,
貸借対照表／〔正味財産の部〕正昧財産合計,244,4854,789,6941,519,1556,1269,63898,4562,2725,972,49,3900,3910,571,5907,1378,1909,6698,9447,2320,124427,
貸借対照表／〔正味財産の部〕うち当期増減額,△0,22,△30,542,△191,105,△89,△351,161,△86,△71,2,△312,286,△8,815,110,104,171,△61,△27,1091,
貸借対照表／負債・正昧財産合計,258,7130,882,10043,775,3483,2954,75748,39251,9707,2176,124,20922,84826,2304,7390,6453,3362,9680,20857,2544,310880,
都の関与の状況出資等比率（%）,74.2,45.5,85.6,32.2,4.4,100,90.9,76.9,99.7,60,100,100,97.5,50.2,50.7,64.4,-,7.5,100,0.2,16.3,,
都の関与の状況都派遣職員数（人）/常勤職員数（人）,5月8日,3月7日,8/176,31/272,2/120,38/139,4月25日,15/266,69/314,43/118,67/191,20/37,"262/2,736",37/202,21/92,127/156,10/59,112/322,63/554,29/398,13/66,,
