令和3年10月31日  執行,,,,,,,,,,
衆議院（比例代表選出）議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和3年 11月1日 10時 23分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思われる票数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　　三鷹市,94716.999,0.001,0 ,94717 ,1522 ,96239 ,9 ,0 ,96248 ,1.58
　　青梅市,60356.999,0.001,0 ,60357 ,1742 ,62099 ,4 ,0 ,62103 ,2.81
　　府中市,123470.999,0.001,0 ,123471 ,2697 ,126168 ,3 ,0 ,126171 ,2.14
　　昭島市,50840.999,0.001,0 ,50841 ,994 ,51835 ,5 ,0 ,51840 ,1.92
　　調布市,116727.999,0.001,0 ,116728 ,2078 ,118806 ,8 ,0 ,118814 ,1.75
　　町田市,205097.999,0.001,0 ,205098 ,3665 ,208763 ,3 ,0 ,208766 ,1.76
　　小金井市,62179.999,0.001,0 ,62180 ,1127 ,63307 ,0 ,0 ,63307 ,1.78
　　小平市,94545.999,0.001,0 ,94546 ,1471 ,96017 ,2 ,0 ,96019 ,1.53
　　日野市,89383.999,0.001,0 ,89384 ,1776 ,91160 ,2 ,0 ,91162 ,1.95
　　東村山市,72393.999,0.001,0 ,72394 ,1444 ,73838 ,2 ,0 ,73840 ,1.96
　　国分寺市,65469.999,0.001,0 ,65470 ,1045 ,66515 ,1 ,0 ,66516 ,1.57
　　国立市,38675.999,0.001,0 ,38676 ,683 ,39359 ,13 ,0 ,39372 ,1.74
　　福生市,24522.999,0.001,0 ,24523 ,565 ,25088 ,[sanitize]2 ,0 ,25086 ,2.25
　　狛江市,42326.999,0.001,0 ,42327 ,743 ,43070 ,1 ,0 ,43071 ,1.73
　　東大和市,39682.999,0.001,0 ,39683 ,827 ,40510 ,0 ,1 ,40511 ,2.04
　　清瀬市,36156.999,0.001,0 ,36157 ,652 ,36809 ,8 ,0 ,36817 ,1.77
　　東久留米市,55296.999,0.001,0 ,55297 ,1045 ,56342 ,4 ,8 ,56354 ,1.85
　　武蔵村山市,29260.999,0.001,0 ,29261 ,627 ,29888 ,0 ,0 ,29888 ,2.10
　　多摩市計,73719.998,0.002,0 ,73720 ,1207 ,74927 ,0 ,0 ,74927 ,1.61
　　多摩市２１区,15564.999,0.001,0 ,15565 ,235 ,15800 ,0 ,0 ,15800 ,1.49
　　多摩市２３区,58154.999,0.001,0 ,58155 ,972 ,59127 ,0 ,0 ,59127 ,1.64
　　稲城市計,44198.998,0.002,0 ,44199 ,738 ,44937 ,1 ,0 ,44938 ,1.64
　　稲城市２１区,15614.999,0.001,0 ,15615 ,243 ,15858 ,0 ,0 ,15858 ,1.53
　　稲城市２２区,28583.999,0.001,0 ,28584 ,495 ,29079 ,1 ,0 ,29080 ,1.70
　　羽村市,24599.999,0.001,0 ,24600 ,565 ,25165 ,0 ,1 ,25166 ,2.25
　　あきる野市,36275.999,0.001,0 ,36276 ,833 ,37109 ,2 ,0 ,37111 ,2.24
　　西東京市,99022.999,0.001,0 ,99023 ,1865 ,100888 ,3 ,0 ,100891 ,1.85
　☆西多摩郡計,24914.996,0.004,0 ,24915 ,634 ,25549 ,[sanitize]1 ,0 ,25548 ,2.48
　　瑞穂町,13312.999,0.001,0 ,13313 ,339 ,13652 ,0 ,0 ,13652 ,2.48
　　日の出町,7676.999,0.001,0 ,7677 ,166 ,7843 ,[sanitize]1 ,0 ,7842 ,2.12
　　檜原村,1226.999,0.001,0 ,1227 ,44 ,1271 ,0 ,0 ,1271 ,3.46
　　奥多摩町,2697.999,0.001,0 ,2698 ,85 ,2783 ,0 ,0 ,2783 ,3.05
　☆島部計,12700.995,0.005,0 ,12701 ,532 ,13233 ,0 ,0 ,13233 ,4.02
　　大島支庁,6309.997,0.003,0 ,6310 ,281 ,6591 ,0 ,0 ,6591 ,4.26
　　　大島町,3675.999,0.001,0 ,3676 ,228 ,3904 ,0 ,0 ,3904 ,5.84
　　　利島村,216.000,0.000,0 ,216 ,6 ,222 ,0 ,0 ,222 ,2.70
　　　新島村,1398.999,0.001,0 ,1399 ,30 ,1429 ,0 ,0 ,1429 ,2.10
　　　神津島村,1018.999,0.001,0 ,1019 ,17 ,1036 ,0 ,0 ,1036 ,1.64
　　三宅支庁,1465.000,0.000,0 ,1465 ,62 ,1527 ,0 ,0 ,1527 ,4.06
　　　三宅村,1266.000,0.000,0 ,1266 ,58 ,1324 ,0 ,0 ,1324 ,4.38
　　　御蔵島村,199.000,0.000,0 ,199 ,4 ,203 ,0 ,0 ,203 ,1.97
　　八丈支庁,3746.999,0.001,0 ,3747 ,130 ,3877 ,0 ,0 ,3877 ,3.35
　　　八丈町,3624.999,0.001,0 ,3625 ,126 ,3751 ,0 ,0 ,3751 ,3.36
　　　青ヶ島村,122.000,0.000,0 ,122 ,4 ,126 ,0 ,0 ,126 ,3.17
　　小笠原支庁,1178.999,0.001,0 ,1179 ,59 ,1238 ,0 ,0 ,1238 ,4.77
　　　小笠原村,1178.999,0.001,0 ,1179 ,59 ,1238 ,0 ,0 ,1238 ,4.77
