令和3年7月4日 執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別当選人数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
選   挙   区   名,定数,全党派計,全党派計,全党派計,全党派計,都民ファーストの会,都民ファーストの会,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,自由民主党,自由民主党,公明党,公明党,公明党,公明党,日本共産党,日本共産党,日本共産党,日本共産党,日本維新の会,日本維新の会,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,立憲民主党,立憲民主党,国民民主党,国民民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,減税とうきょう,減税とうきょう,その他の党派,その他の党派,その他の党派,その他の党派,無所属,無所属,無所属,無所属
　江東区(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　品川区,4,1,3,,4,,,,,,,,,,1,,1,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1
　品川区(女性の内数),,+1,+1,,+2,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,+1,,+1
　目黒区,3,1,2,,3,,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　目黒区(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　大田区,7,4,3,,7,,1,,1,,1,,1,2,,,2,,1,,1,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　大田区(女性の内数),,+1,+2,,+3,,+1,,+1,,,,,,,,,,+1,,+1,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,
　世田谷区,8,3,5,,8,,1,,1,1,2,,3,1,,,1,,1,,1,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,
　世田谷区(女性の内数),,+1,+2,,+3,,+1,,+1,+1,,,+1,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　渋谷区,2,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　渋谷区(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　中野区,3,,3,,3,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
　中野区(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　杉並区,6,1,5,,6,,1,,1,,2,,2,,1,,1,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　杉並区(女性の内数),,,+3,,+3,,+1,,+1,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　豊島区,3,,3,,3,,1,,1,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　豊島区(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　北区,3,,3,,3,,,,,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　北区(女性の内数),,,+1,,+1,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　荒川区,2,,2,,2,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　荒川区(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　板橋区,5,1,3,1,5,,1,,1,,,1,1,1,,,1,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
　板橋区(女性の内数),,+1,+1,,+2,,+1,,+1,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　練馬区,7,,6,1,7,,2,,2,,1,1,2,,1,,1,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
　練馬区(女性の内数),,,+1,+1,+2,,,,,,,+1,+1,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　足立区,6,,5,1,6,,1,,1,,1,1,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　足立区(女性の内数),,,+2,,+2,,+1,,+1,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　葛飾区,4,2,2,,4,,1,,1,1,,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　葛飾区(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　江戸川区,5,2,3,,5,,1,,1,,1,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
　江戸川区(女性の内数),,+2,+2,,+4,,+1,,+1,,,,,+1,,,+1,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1
　八王子市,5,3,2,,5,,,,,1,1,,2,,1,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　八王子市(女性の内数),,+1,,,+1,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　立川市,2,,1,1,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
　立川市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　武蔵野市,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
　武蔵野市(女性の内数),,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,
　三鷹市,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
　三鷹市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　青梅市,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　青梅市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　府中市,2,,1,1,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
　府中市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　昭島市,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　昭島市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　町田市,4,1,3,,4,,1,,1,1,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　町田市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　小金井市,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
　小金井市(女性の内数),,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1
　小平市,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　小平市(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　日野市,2,1,1,,2,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　日野市(女性の内数),,+1,,,+1,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　西東京市,2,1,1,,2,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　西東京市(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆西多摩,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆西多摩(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆南多摩,2,,1,1,2,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆南多摩(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第一,3,,3,,3,,1,,1,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第一(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第二,2,2,,,2,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第二(女性の内数),,+1,,,+1,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第三,3,,3,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第三(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第四,2,1,1,,2,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆北多摩第四(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆島部,1,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　☆島部(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,127,31,88,6,125,,31,,31,10,17,5,32,6,17,,23,4,15,,19,1,,,1,1,,,1,8,5,1,14,,,,,,,,,,,,,,,,,,,,,1,3,,4
合計(女性の内数),,+12,+27,+1,+40,,+12,,+12,+1,+2,+1,+4,+2,+1,,+3,+4,+10,,+14,,,,,+1,,,+1,+3,,,+3,,,,,,,,,,,,,,,,,,,,,+1,+2,,+3
※「日本公益党」「古い政党から国民を守る党」「（略称）愛の力でＬＧＢＴ差別・動物殺処分解決の党」「ＮＨＫから国民を守る党」「ＳＤＧｓ党」「国民主権党」「議席を減らします党」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「こころのやまい党」「庶民と動物の会」「女性ファーストの会」「選挙に私も連れてって党」「全都黎明」「台東教育ネットワーク」「つばさの党」「（略称）土頭を働かし最高裁裁判官５人を弾劾する党」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「平和の党」「みんなの党」「目覚めよ日本党」「立憲共和党」は、「その他の党派」と表示しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
