区分１,区分２,度数計,割合計,メールが原因で友達等とトラブルになった_度数,メールが原因で友達等とトラブルになった_割合,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_度数,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_割合,メールで誹謗中傷、チェーンメールなどが届いた_度数,メールで誹謗中傷、チェーンメールなどが届いた_割合,身に覚えのない料金請求のメールが届いた_度数,身に覚えのない料金請求のメールが届いた_割合,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_度数,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_割合,歩きスマホ等により何らかのトラブルにあった_度数,歩きスマホ等により何らかのトラブルにあった_割合,個人情報を知られた（盗まれた）_度数,個人情報を知られた（盗まれた）_割合,掲示板等に個人の誹謗中傷などの書き込みをされた_度数,掲示板等に個人の誹謗中傷などの書き込みをされた_割合,下着姿や裸の写真を撮ったり送ったりしていた_度数,下着姿や裸の写真を撮ったり送ったりしていた_割合,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_度数,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_割合,その他_度数,その他_割合,トラブルに遭ったことはない_度数,トラブルに遭ったことはない_割合,わからない_度数,わからない_割合
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,34,5.3,45,7,32,5,28,4.4,12,1.9,11,1.7,3,0.5,8,1.3,1,0.2,5,0.8,4,0.6,426,66.7,81,12.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,8,3.8,7,3.4,8,3.8,8,3.8,5,2.4,6,2.9,0,0,2,1,2,1,6,2.9,2,1,113,54.3,59,28.4
利用状況の管理状態別,子供の利用状況に関心がない,98,100,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,56,57.1,34,34.7
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,32,6.8,30,6.4,30,6.4,21,4.5,14,3,9,1.9,6,1.3,8,1.7,4,0.8,7,1.5,6,1.3,331,70.3,48,10.2
説明・学習経験別,インターネットで調べた,482,100,34,7.1,45,9.3,33,6.8,26,5.4,14,2.9,14,2.9,3,0.6,10,2.1,2,0.4,5,1,6,1.2,311,64.5,49,10.2
説明・学習経験別,学校から配布される資料等を読んだ,537,100,30,5.6,35,6.5,31,5.8,25,4.7,11,2,12,2.2,4,0.7,9,1.7,4,0.7,6,1.1,3,0.6,395,73.6,39,7.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,19,5.8,22,6.7,25,7.6,15,4.5,5,1.5,7,2.1,5,1.5,6,1.8,4,1.2,4,1.2,3,0.9,249,75.5,24,7.3
説明・学習経験別,知識のある知人から説明を受けた,74,100,7,9.5,8,10.8,10,13.5,5,6.8,6,8.1,3,4.1,3,4.1,8,10.8,3,4.1,2,2.7,2,2.7,46,62.2,10,13.5
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,10,8.8,12,10.6,8,7.1,4,3.5,5,4.4,4,3.5,2,1.8,5,4.4,2,1.8,2,1.8,2,1.8,72,63.7,13,11.5
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,4,10.8,8,21.6,7,18.9,5,13.5,5,13.5,3,8.1,4,10.8,5,13.5,2,5.4,4,10.8,1,2.7,19,51.4,7,18.9
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,4,1.2,3,0.9,3,0.9,2,0.6,1,0.3,5,1.5,1,0.3,0,0,0,0,4,1.2,0,0,237,69.7,85,25
説明・学習経験別,その他,9,100,0,0,0,0,0,0,1,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66.7,2,22.2
