区分１,区分２,度数計,割合計,使い方は個人の問題だから_度数,使い方は個人の問題だから_割合,家庭のルールがあれば十分だ_度数,家庭のルールがあれば十分だ_割合,子供同士でルールを決めても守らないと思う_度数,子供同士でルールを決めても守らないと思う_割合,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う_度数,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う_割合,ルールで子供をしばりたくない_度数,ルールで子供をしばりたくない_割合,子供同士も失敗の中で経験を積むべきだ_度数,子供同士も失敗の中で経験を積むべきだ_割合,その他_度数,その他_割合
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,19,100,9,47.4,7,36.8,1,5.3,1,5.3,3,15.8,2,10.5,0,0
携帯電話の購入所別,家電量販店,67,100,33,49.3,21,31.3,14,20.9,9,13.4,7,10.4,11,16.4,1,1.5
携帯電話の購入所別,インターネット販売,27,100,15,55.6,11,40.7,5,18.5,3,11.1,2,7.4,7,25.9,0,0
携帯電話の購入所別,その他,8,100,4,50,2,25,0,0,1,12.5,2,25,0,0,1,12.5
携帯電話の購入所別,わからない,14,100,7,50,1,7.1,0,0,2,14.3,1,7.1,6,42.9,0,0
フィルタリングサービスの加入状況別,加入している,73,100,34,46.6,40,54.8,14,19.2,9,12.3,3,4.1,9,12.3,2,2.7
フィルタリングサービスの加入状況別,加入している,156,100,87,55.8,45,28.8,24,15.4,20,12.8,13,8.3,30,19.2,4,2.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,35,100,13,37.1,20,57.1,10,28.6,5,14.3,4,11.4,5,14.3,1,2.9
フィルタリングサービスの加入状況別,わからない,80,100,37,46.3,14,17.5,11,13.8,6,7.5,10,12.5,21,26.3,0,0
利用制限サービスの加入状況別,加入している,47,100,27,57.4,19,40.4,7,14.9,6,12.8,1,2.1,5,10.6,2,4.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,24,100,3,12.5,14,58.3,5,20.8,6,25,1,4.2,4,16.7,1,4.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,122,100,69,56.6,40,32.8,23,18.9,16,13.1,13,10.7,21,17.2,2,1.6
利用制限サービスの加入状況別,わからない,25,100,17,68,3,12,5,20,1,4,1,4,5,20,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,96,100,52,54.2,41,42.7,19,19.8,13,13.5,3,3.1,17,17.7,3,3.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,135,100,64,47.4,57,42.2,21,15.6,18,13.3,18,13.3,24,17.8,2,1.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,54,100,28,51.9,10,18.5,10,18.5,5,9.3,6,11.1,9,16.7,0,0
利用状況の管理状態別,子供の利用状況に関心がない,58,100,27,46.6,11,19,9,15.5,4,6.9,3,5.2,15,25.9,1,1.7
利用状況の管理状態別,その他,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,78,100,40,51.3,36,46.2,16,20.5,14,17.9,7,9,16,20.5,3,3.8
説明・学習経験別,インターネットで調べた,89,100,43,48.3,42,47.2,16,18,10,11.2,7,7.9,12,13.5,0,0
説明・学習経験別,学校から配布される資料等を読んだ,79,100,34,43,43,54.4,20,25.3,15,19,7,8.9,15,19,4,5.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,57,100,24,42.1,22,38.6,16,28.1,13,22.8,6,10.5,13,22.8,3,5.3
説明・学習経験別,知識のある知人から説明を受けた,10,100,5,50,2,20,2,20,2,20,3,30,1,10,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,19,100,9,47.4,7,36.8,6,31.6,4,21.1,1,5.3,3,15.8,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,5,55.6,2,22.2,1,11.1,1,11.1,0,0,5,55.6,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,124,100,70,56.5,26,21,15,12.1,6,4.8,11,8.9,28,22.6,3,2.4
説明・学習経験別,その他,3,100,2,66.7,2,66.7,1,33.3,0,0,0,0,0,0,0,0
